,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,55,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),EMAS,"R$ 4.696,00"
1,56,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),EMAS,"R$ 4.696,00"
2,57,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),EMAS,"R$ 4.696,00"
3,58,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),EMAS,"R$ 4.696,00"
4,35,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),EMAS,"R$ 4.696,00"
5,36,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),EMAS,"R$ 4.696,00"
6,37,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),EMAS,"R$ 4.696,00"
7,35,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),EMAS,"R$ 4.696,00"
8,36,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),EMAS,"R$ 4.696,00"
9,37,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),EMAS,"R$ 4.696,00"
10,28,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,EMAS,"R$ 6.250,00"
11,377,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,EMAS,"R$ 10.000,00"
12,416,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,EMAS,"R$ 11.540,00"
13,783,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,EMAS,"R$ 86.357,00"
14,566,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,EMAS,"R$ 25.708,62"
15,161,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,EMAS,"R$ 3.672,63"
16,162,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,EMAS,"R$ 3.672,66"
17,163,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,EMAS,"R$ 3.672,66"
18,41,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,EMAS,"R$ 62.033,57"
19,79,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,EMAS,"R$ 73.715,09"
20,109,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,EMAS,"R$ 81.567,14"
21,190,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,EMAS,"R$ 102.008,41"
22,37,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,EMAS,"R$ 58.734,09"
23,85,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,EMAS,"R$ 72.810,09"
24,114,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,EMAS,"R$ 80.952,59"
25,186,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,EMAS,"R$ 97.987,67"
26,32,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,EMAS,"R$ 59.243,95"
27,65,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,EMAS,"R$ 71.781,55"
28,216,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,EMAS,"R$ 129.153,45"
29,285,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,EMAS,"R$ 155.881,98"
