,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,822,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ESPERANÇA,"R$ 63.436,00"
1,823,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ESPERANÇA,"R$ 63.436,00"
2,824,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ESPERANÇA,"R$ 63.436,00"
3,825,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ESPERANÇA,"R$ 63.436,00"
4,603,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ESPERANÇA,"R$ 63.436,00"
5,604,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ESPERANÇA,"R$ 63.436,00"
6,605,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ESPERANÇA,"R$ 63.436,00"
7,605,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ESPERANÇA,"R$ 63.436,00"
8,606,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ESPERANÇA,"R$ 63.436,00"
9,607,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ESPERANÇA,"R$ 63.436,00"
10,10,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ESPERANÇA,"R$ 5.620,00"
11,180,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ESPERANÇA,"R$ 168.750,07"
12,176,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ESPERANÇA,"R$ 3.570,00"
13,177,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ESPERANÇA,"R$ 3.570,00"
14,594,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ESPERANÇA,"R$ 27.230,00"
15,643,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ESPERANÇA,"R$ 34.500,00"
16,786,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ESPERANÇA,"R$ 87.190,00"
17,893,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ESPERANÇA,"R$ 364.739,00"
18,585,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ESPERANÇA,"R$ 10.174,19"
19,586,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ESPERANÇA,"R$ 10.174,19"
20,587,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ESPERANÇA,"R$ 10.174,19"
21,588,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ESPERANÇA,"R$ 10.174,19"
22,425,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ESPERANÇA,"R$ 10.174,19"
23,426,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ESPERANÇA,"R$ 10.174,19"
24,427,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ESPERANÇA,"R$ 10.174,19"
25,426,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ESPERANÇA,"R$ 10.174,19"
26,427,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ESPERANÇA,"R$ 10.174,19"
27,428,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ESPERANÇA,"R$ 10.174,19"
28,807,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ESPERANÇA,"R$ 556.095,48"
29,831,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ESPERANÇA,"R$ 660.813,60"
30,839,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ESPERANÇA,"R$ 731.182,44"
31,858,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ESPERANÇA,"R$ 914.446,92"
32,806,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ESPERANÇA,"R$ 526.517,44"
33,834,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ESPERANÇA,"R$ 652.700,80"
34,841,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ESPERANÇA,"R$ 725.693,51"
35,857,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ESPERANÇA,"R$ 878.403,28"
36,735,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ESPERANÇA,"R$ 531.087,94"
37,775,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ESPERANÇA,"R$ 643.480,33"
38,850,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ESPERANÇA,"R$ 1.157.786,57"
39,862,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ESPERANÇA,"R$ 1.397.392,44"
40,716,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ESPERANÇA,"R$ 84.634,78"
41,717,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ESPERANÇA,"R$ 84.634,78"
42,718,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ESPERANÇA,"R$ 84.634,78"
43,871,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ESPERANÇA,"R$ 357.654,98"
44,771,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ESPERANÇA,"R$ 84.579,13"
45,772,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ESPERANÇA,"R$ 84.579,13"
46,853,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ESPERANÇA,"R$ 161.870,71"
47,854,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ESPERANÇA,"R$ 169.269,56"
48,777,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ESPERANÇA,"R$ 84.579,13"
49,778,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ESPERANÇA,"R$ 84.579,13"
