,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,59,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),FREI MARTINHO,"R$ 4.818,00"
1,60,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),FREI MARTINHO,"R$ 4.818,00"
2,61,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),FREI MARTINHO,"R$ 4.818,00"
3,62,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),FREI MARTINHO,"R$ 4.818,00"
4,38,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),FREI MARTINHO,"R$ 4.818,00"
5,39,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),FREI MARTINHO,"R$ 4.818,00"
6,40,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),FREI MARTINHO,"R$ 4.818,00"
7,38,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),FREI MARTINHO,"R$ 4.818,00"
8,39,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),FREI MARTINHO,"R$ 4.818,00"
9,40,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),FREI MARTINHO,"R$ 4.818,00"
10,44,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,FREI MARTINHO,"R$ 8.300,00"
11,78,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,FREI MARTINHO,"R$ 1.650,00"
12,95,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,FREI MARTINHO,"R$ 2.220,00"
13,96,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,FREI MARTINHO,"R$ 2.220,00"
