,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,517,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),GADO BRAVO,"R$ 17.480,00"
1,518,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),GADO BRAVO,"R$ 17.480,00"
2,519,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),GADO BRAVO,"R$ 17.480,00"
3,520,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),GADO BRAVO,"R$ 17.480,00"
4,378,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),GADO BRAVO,"R$ 17.480,00"
5,379,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),GADO BRAVO,"R$ 17.480,00"
6,378,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),GADO BRAVO,"R$ 17.480,00"
7,379,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),GADO BRAVO,"R$ 17.480,00"
8,380,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),GADO BRAVO,"R$ 17.480,00"
9,98,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,GADO BRAVO,"R$ 17.500,00"
10,539,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,GADO BRAVO,"R$ 20.290,00"
11,540,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,GADO BRAVO,"R$ 20.290,00"
12,607,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,GADO BRAVO,"R$ 29.190,00"
13,608,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,GADO BRAVO,"R$ 29.190,00"
14,841,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,GADO BRAVO,"R$ 143.000,00"
15,4,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,GADO BRAVO,"R$ 276,36"
16,5,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,GADO BRAVO,"R$ 276,36"
17,6,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,GADO BRAVO,"R$ 276,36"
18,7,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,GADO BRAVO,"R$ 276,36"
19,3,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,GADO BRAVO,"R$ 276,36"
20,4,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,GADO BRAVO,"R$ 276,36"
21,34,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,GADO BRAVO,"R$ 1.395,44"
22,105,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,GADO BRAVO,"R$ 2.708,31"
23,106,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,GADO BRAVO,"R$ 2.708,33"
24,107,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,GADO BRAVO,"R$ 2.708,33"
25,547,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,GADO BRAVO,"R$ 233.344,46"
26,618,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,GADO BRAVO,"R$ 277.285,48"
27,654,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,GADO BRAVO,"R$ 306.820,41"
28,728,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,GADO BRAVO,"R$ 383.713,13"
29,530,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,GADO BRAVO,"R$ 220.933,17"
30,624,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,GADO BRAVO,"R$ 273.881,24"
31,663,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,GADO BRAVO,"R$ 304.509,87"
32,725,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,GADO BRAVO,"R$ 368.588,76"
33,440,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,GADO BRAVO,"R$ 222.851,00"
34,520,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,GADO BRAVO,"R$ 270.012,24"
35,715,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,GADO BRAVO,"R$ 485.821,43"
36,755,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,GADO BRAVO,"R$ 586.363,01"
37,491,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,GADO BRAVO,"R$ 35.513,79"
38,492,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,GADO BRAVO,"R$ 35.513,79"
39,493,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,GADO BRAVO,"R$ 35.513,79"
40,823,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,GADO BRAVO,"R$ 162.061,72"
41,495,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,GADO BRAVO,"R$ 35.490,44"
42,496,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,GADO BRAVO,"R$ 35.490,44"
43,731,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,GADO BRAVO,"R$ 71.027,58"
44,746,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,GADO BRAVO,"R$ 75.028,89"
45,536,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,GADO BRAVO,"R$ 35.490,44"
46,537,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,GADO BRAVO,"R$ 35.490,44"
47,538,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,GADO BRAVO,"R$ 35.490,44"
48,789,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,GADO BRAVO,"R$ 91.171,98"
49,5,0E53 - AQUISICAO DE VEICULOS PARA O TRANSPORTE ESCOLAR DA EDUCACAO BASICA - CAMINHO DA ESCOLA,GADO BRAVO,"R$ 15.000,00"
50,8,0E53 - AQUISICAO DE VEICULOS PARA O TRANSPORTE ESCOLAR DA EDUCACAO BASICA - CAMINHO DA ESCOLA,GADO BRAVO,"R$ 196.500,00"
51,79,12KV - IMPLANTACAO E ADEQUACAO DE ESTRUTURAS ESPORTIVAS ESCOLARES,GADO BRAVO,"R$ 50.996,06"
52,32,20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA,GADO BRAVO,"R$ 30.432,89"
53,33,20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA,GADO BRAVO,"R$ 30.432,89"
54,54,20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA,GADO BRAVO,"R$ 50.721,48"
55,12,8790 - APOIO A ALFABETIZACAO E A EDUCACAO DE JOVENS E ADULTOS,GADO BRAVO,"R$ 11.884,93"
56,127,8790 - APOIO A ALFABETIZACAO E A EDUCACAO DE JOVENS E ADULTOS,GADO BRAVO,"R$ 489.110,38"
57,261,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),GADO BRAVO,"R$ 17.269,40"
58,262,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),GADO BRAVO,"R$ 17.269,40"
59,471,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),GADO BRAVO,"R$ 17.269,40"
60,472,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),GADO BRAVO,"R$ 17.269,40"
