,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,854,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),GUARABIRA,"R$ 90.096,00"
1,855,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),GUARABIRA,"R$ 90.096,00"
2,856,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),GUARABIRA,"R$ 90.096,00"
3,857,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),GUARABIRA,"R$ 90.096,00"
4,625,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),GUARABIRA,"R$ 90.096,00"
5,626,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),GUARABIRA,"R$ 90.096,00"
6,627,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),GUARABIRA,"R$ 90.096,00"
7,629,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),GUARABIRA,"R$ 90.096,00"
8,630,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),GUARABIRA,"R$ 90.096,00"
9,631,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),GUARABIRA,"R$ 90.096,00"
10,159,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,GUARABIRA,"R$ 69.250,00"
11,220,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,GUARABIRA,"R$ 4.800,00"
12,323,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,GUARABIRA,"R$ 7.500,00"
13,680,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,GUARABIRA,"R$ 44.000,00"
14,820,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,GUARABIRA,"R$ 117.720,00"
15,904,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,GUARABIRA,"R$ 712.605,00"
16,683,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,GUARABIRA,"R$ 13.754,87"
17,684,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,GUARABIRA,"R$ 13.754,87"
18,685,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,GUARABIRA,"R$ 13.754,87"
19,686,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,GUARABIRA,"R$ 13.754,87"
20,493,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,GUARABIRA,"R$ 13.754,87"
21,494,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,GUARABIRA,"R$ 13.754,87"
22,495,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,GUARABIRA,"R$ 13.754,87"
23,490,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,GUARABIRA,"R$ 13.754,87"
24,491,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,GUARABIRA,"R$ 13.754,87"
25,492,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,GUARABIRA,"R$ 13.754,93"
26,821,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,GUARABIRA,"R$ 626.756,10"
27,843,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,GUARABIRA,"R$ 744.780,26"
28,852,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,GUARABIRA,"R$ 824.084,16"
29,866,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,GUARABIRA,"R$ 1.030.641,68"
30,821,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,GUARABIRA,"R$ 593.419,69"
31,843,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,GUARABIRA,"R$ 735.636,59"
32,853,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,GUARABIRA,"R$ 817.904,20"
33,865,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,GUARABIRA,"R$ 990.018,13"
34,762,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,GUARABIRA,"R$ 598.570,97"
35,802,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,GUARABIRA,"R$ 725.244,59"
36,858,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,GUARABIRA,"R$ 1.304.901,43"
37,870,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,GUARABIRA,"R$ 1.574.953,00"
38,741,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,GUARABIRA,"R$ 95.388,95"
39,742,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,GUARABIRA,"R$ 95.388,95"
40,743,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,GUARABIRA,"R$ 95.388,95"
41,874,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,GUARABIRA,"R$ 392.496,02"
42,798,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,GUARABIRA,"R$ 95.326,22"
