,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,650,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),GURINHÉM,"R$ 25.908,00"
1,651,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),GURINHÉM,"R$ 25.908,00"
2,652,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),GURINHÉM,"R$ 25.908,00"
3,653,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),GURINHÉM,"R$ 25.908,00"
4,474,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),GURINHÉM,"R$ 25.908,00"
5,475,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),GURINHÉM,"R$ 25.908,00"
6,476,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),GURINHÉM,"R$ 25.908,00"
7,477,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),GURINHÉM,"R$ 25.908,00"
8,478,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),GURINHÉM,"R$ 25.908,00"
9,479,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),GURINHÉM,"R$ 25.908,00"
10,237,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,GURINHÉM,"R$ 5.250,00"
11,238,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,GURINHÉM,"R$ 5.250,00"
12,616,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,GURINHÉM,"R$ 30.000,00"
13,698,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,GURINHÉM,"R$ 48.710,00"
14,880,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,GURINHÉM,"R$ 253.571,00"
15,169,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,GURINHÉM,"R$ 3.039,96"
16,170,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,GURINHÉM,"R$ 3.039,96"
17,171,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,GURINHÉM,"R$ 3.039,96"
18,172,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,GURINHÉM,"R$ 3.039,96"
19,125,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,GURINHÉM,"R$ 3.039,96"
20,126,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,GURINHÉM,"R$ 3.039,96"
21,127,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,GURINHÉM,"R$ 3.039,96"
22,123,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,GURINHÉM,"R$ 3.039,96"
23,124,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,GURINHÉM,"R$ 3.039,96"
24,125,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,GURINHÉM,"R$ 3.039,96"
25,599,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,GURINHÉM,"R$ 264.759,25"
26,667,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,GURINHÉM,"R$ 314.615,95"
27,702,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,GURINHÉM,"R$ 348.119,75"
28,762,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,GURINHÉM,"R$ 435.371,77"
29,591,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,GURINHÉM,"R$ 250.677,01"
30,671,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,GURINHÉM,"R$ 310.753,42"
31,707,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,GURINHÉM,"R$ 345.505,53"
32,762,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,GURINHÉM,"R$ 418.211,26"
33,489,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,GURINHÉM,"R$ 252.853,05"
34,563,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,GURINHÉM,"R$ 306.363,51"
35,743,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,GURINHÉM,"R$ 551.226,76"
36,786,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,GURINHÉM,"R$ 665.304,06"
37,539,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,GURINHÉM,"R$ 40.294,95"
