,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,99,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),GURJÃO,"R$ 5.802,00"
1,100,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),GURJÃO,"R$ 5.802,00"
2,101,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),GURJÃO,"R$ 5.802,00"
3,102,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),GURJÃO,"R$ 5.802,00"
4,69,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),GURJÃO,"R$ 5.802,00"
5,70,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),GURJÃO,"R$ 5.802,00"
6,71,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),GURJÃO,"R$ 5.802,00"
7,71,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),GURJÃO,"R$ 5.802,00"
8,72,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),GURJÃO,"R$ 5.802,00"
9,73,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),GURJÃO,"R$ 5.802,00"
10,26,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,GURJÃO,"R$ 930,00"
11,28,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,GURJÃO,"R$ 930,00"
12,346,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,GURJÃO,"R$ 8.650,00"
13,347,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,GURJÃO,"R$ 8.650,00"
14,395,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,GURJÃO,"R$ 10.000,00"
15,89,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,GURJÃO,"R$ 2.179,13"
16,90,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,GURJÃO,"R$ 2.179,13"
17,91,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,GURJÃO,"R$ 2.179,13"
18,92,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,GURJÃO,"R$ 2.179,13"
19,67,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,GURJÃO,"R$ 2.179,13"
20,68,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,GURJÃO,"R$ 2.179,13"
21,69,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,GURJÃO,"R$ 2.179,13"
22,62,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,GURJÃO,"R$ 2.179,13"
23,63,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,GURJÃO,"R$ 2.179,13"
24,64,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,GURJÃO,"R$ 2.179,18"
25,54,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,GURJÃO,"R$ 65.760,83"
26,98,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,GURJÃO,"R$ 78.144,25"
27,130,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,GURJÃO,"R$ 86.469,55"
28,219,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,GURJÃO,"R$ 108.137,55"
29,50,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,GURJÃO,"R$ 62.263,12"
30,105,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,GURJÃO,"R$ 77.184,87"
31,137,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,GURJÃO,"R$ 85.816,59"
32,210,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,GURJÃO,"R$ 103.875,22"
33,44,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,GURJÃO,"R$ 62.803,60"
34,76,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,GURJÃO,"R$ 76.094,49"
35,237,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,GURJÃO,"R$ 136.913,59"
36,305,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,GURJÃO,"R$ 165.248,10"
37,81,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,GURJÃO,"R$ 10.008,45"
38,82,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,GURJÃO,"R$ 10.008,45"
39,83,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,GURJÃO,"R$ 10.008,45"
40,605,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,GURJÃO,"R$ 48.624,65"
41,59,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,GURJÃO,"R$ 10.001,87"
42,60,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,GURJÃO,"R$ 10.001,87"
43,257,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,GURJÃO,"R$ 20.016,90"
44,303,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,GURJÃO,"R$ 22.895,12"
45,82,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,GURJÃO,"R$ 10.001,87"
46,83,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,GURJÃO,"R$ 10.001,87"
47,84,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,GURJÃO,"R$ 10.001,87"
48,402,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,GURJÃO,"R$ 25.693,97"
49,43,8790 - APOIO A ALFABETIZACAO E A EDUCACAO DE JOVENS E ADULTOS,GURJÃO,"R$ 35.274,76"
