,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,258,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),IBIARA,"R$ 9.274,00"
1,259,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),IBIARA,"R$ 9.274,00"
2,260,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),IBIARA,"R$ 9.274,00"
3,261,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),IBIARA,"R$ 9.274,00"
4,190,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),IBIARA,"R$ 9.274,00"
5,191,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),IBIARA,"R$ 9.274,00"
6,192,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),IBIARA,"R$ 9.274,00"
7,188,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),IBIARA,"R$ 9.274,00"
8,189,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),IBIARA,"R$ 9.274,00"
9,190,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),IBIARA,"R$ 9.274,00"
10,369,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,IBIARA,"R$ 9.800,00"
11,672,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,IBIARA,"R$ 41.145,00"
12,252,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,IBIARA,"R$ 3.908,44"
13,253,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,IBIARA,"R$ 3.908,44"
14,254,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,IBIARA,"R$ 3.908,44"
15,255,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,IBIARA,"R$ 3.908,44"
16,185,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,IBIARA,"R$ 3.908,44"
17,186,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,IBIARA,"R$ 3.908,44"
18,187,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,IBIARA,"R$ 3.908,44"
19,185,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,IBIARA,"R$ 3.908,44"
20,186,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,IBIARA,"R$ 3.908,44"
21,187,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,IBIARA,"R$ 3.908,52"
22,126,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,IBIARA,"R$ 85.255,08"
23,186,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,IBIARA,"R$ 101.309,44"
24,230,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,IBIARA,"R$ 112.097,97"
25,328,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,IBIARA,"R$ 140.193,99"
