,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,782,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),INGÁ,"R$ 39.702,00"
1,783,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),INGÁ,"R$ 39.702,00"
2,784,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),INGÁ,"R$ 39.702,00"
3,785,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),INGÁ,"R$ 39.702,00"
4,573,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),INGÁ,"R$ 39.702,00"
5,574,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),INGÁ,"R$ 39.702,00"
6,575,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),INGÁ,"R$ 39.702,00"
7,575,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),INGÁ,"R$ 39.702,00"
8,576,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),INGÁ,"R$ 39.702,00"
9,577,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),INGÁ,"R$ 39.702,00"
10,48,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,INGÁ,"R$ 8.750,00"
11,111,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,INGÁ,"R$ 22.279,57"
12,311,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,INGÁ,"R$ 7.330,00"
13,312,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,INGÁ,"R$ 7.330,00"
14,658,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,INGÁ,"R$ 38.600,00"
15,732,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,INGÁ,"R$ 61.070,00"
16,879,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,INGÁ,"R$ 244.596,00"
17,495,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,INGÁ,"R$ 7.328,20"
18,496,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,INGÁ,"R$ 7.328,20"
19,497,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,INGÁ,"R$ 7.328,20"
20,498,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,INGÁ,"R$ 7.328,20"
21,362,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,INGÁ,"R$ 7.328,20"
22,363,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,INGÁ,"R$ 7.328,20"
23,364,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,INGÁ,"R$ 7.328,20"
24,364,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,INGÁ,"R$ 7.328,20"
25,365,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,INGÁ,"R$ 7.328,20"
26,366,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,INGÁ,"R$ 7.328,20"
27,661,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,INGÁ,"R$ 310.220,35"
28,718,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,INGÁ,"R$ 368.637,85"
29,746,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,INGÁ,"R$ 407.891,34"
30,795,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,INGÁ,"R$ 510.128,33"
31,649,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,INGÁ,"R$ 293.720,13"
32,721,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,INGÁ,"R$ 364.112,06"
33,748,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,INGÁ,"R$ 404.831,40"
34,794,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,INGÁ,"R$ 490.021,20"
