,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,549,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ITAPORANGA,"R$ 18.712,00"
1,550,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ITAPORANGA,"R$ 18.712,00"
2,551,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ITAPORANGA,"R$ 18.712,00"
3,552,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ITAPORANGA,"R$ 18.712,00"
4,401,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ITAPORANGA,"R$ 18.712,00"
5,402,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ITAPORANGA,"R$ 18.712,00"
6,403,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ITAPORANGA,"R$ 18.712,00"
7,403,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ITAPORANGA,"R$ 18.712,00"
8,404,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ITAPORANGA,"R$ 18.712,00"
9,405,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ITAPORANGA,"R$ 18.712,00"
10,2,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ITAPORANGA,"R$ 956,50"
11,114,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ITAPORANGA,"R$ 23.100,01"
12,6,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ITAPORANGA,"R$ 480,00"
13,7,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ITAPORANGA,"R$ 480,00"
14,576,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ITAPORANGA,"R$ 25.300,00"
15,655,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ITAPORANGA,"R$ 38.000,00"
16,690,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ITAPORANGA,"R$ 45.810,00"
17,868,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ITAPORANGA,"R$ 197.174,00"
18,540,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ITAPORANGA,"R$ 8.535,16"
19,541,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ITAPORANGA,"R$ 8.535,16"
20,542,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ITAPORANGA,"R$ 8.535,16"
21,543,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ITAPORANGA,"R$ 8.535,16"
22,395,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ITAPORANGA,"R$ 8.535,16"
23,396,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ITAPORANGA,"R$ 8.535,16"
24,397,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ITAPORANGA,"R$ 8.535,16"
25,398,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ITAPORANGA,"R$ 8.535,16"
26,399,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ITAPORANGA,"R$ 8.535,16"
27,400,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ITAPORANGA,"R$ 8.535,20"
28,383,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ITAPORANGA,"R$ 161.906,95"
29,462,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ITAPORANGA,"R$ 192.395,57"
30,513,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ITAPORANGA,"R$ 212.884,13"
31,604,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ITAPORANGA,"R$ 266.240,82"
32,376,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ITAPORANGA,"R$ 153.295,30"
33,469,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ITAPORANGA,"R$ 190.033,52"
34,517,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ITAPORANGA,"R$ 211.285,34"
35,601,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ITAPORANGA,"R$ 255.746,71"
36,281,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ITAPORANGA,"R$ 154.626,00"
37,367,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ITAPORANGA,"R$ 187.349,03"
38,599,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ITAPORANGA,"R$ 337.089,05"
39,663,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ITAPORANGA,"R$ 406.850,17"
40,364,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ITAPORANGA,"R$ 24.641,38"
41,365,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ITAPORANGA,"R$ 24.641,38"
42,366,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ITAPORANGA,"R$ 24.641,38"
43,768,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ITAPORANGA,"R$ 105.250,31"
44,338,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ITAPORANGA,"R$ 24.625,17"
45,339,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ITAPORANGA,"R$ 24.625,17"
46,611,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ITAPORANGA,"R$ 47.792,16"
47,624,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ITAPORANGA,"R$ 49.282,76"
48,382,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ITAPORANGA,"R$ 24.625,17"
49,383,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ITAPORANGA,"R$ 24.625,17"
50,384,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ITAPORANGA,"R$ 24.625,17"
51,732,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ITAPORANGA,"R$ 63.260,02"
52,1,0E53 - AQUISICAO DE VEICULOS PARA O TRANSPORTE ESCOLAR DA EDUCACAO BASICA - CAMINHO DA ESCOLA,ITAPORANGA,"R$ 9.900,00"
53,104,20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA,ITAPORANGA,"R$ 205.025,01"
54,114,20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA,ITAPORANGA,"R$ 307.537,51"
55,149,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ITAPORANGA,"R$ 9.860,60"
56,335,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ITAPORANGA,"R$ 30.035,60"
57,149,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ITAPORANGA,"R$ 7.597,00"
58,607,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ITAPORANGA,"R$ 30.273,60"
59,703,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ITAPORANGA,"R$ 43.327,60"
60,578,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ITAPORANGA,"R$ 22.676,60"
61,637,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ITAPORANGA,"R$ 30.316,20"
62,638,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ITAPORANGA,"R$ 30.316,20"
63,795,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ITAPORANGA,"R$ 83.479,40"
64,7,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ITAPORANGA,"R$ 540,00"
65,226,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ITAPORANGA,"R$ 12.708,00"
66,297,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ITAPORANGA,"R$ 19.300,00"
67,358,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ITAPORANGA,"R$ 27.720,00"
68,11,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ITAPORANGA,"R$ 540,00"
69,559,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ITAPORANGA,"R$ 25.260,00"
70,744,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ITAPORANGA,"R$ 68.600,00"
71,779,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ITAPORANGA,"R$ 91.540,00"
72,529,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ITAPORANGA,"R$ 8.842,86"
73,530,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ITAPORANGA,"R$ 8.842,86"
74,743,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ITAPORANGA,"R$ 17.685,72"
75,772,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ITAPORANGA,"R$ 26.528,58"
76,773,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ITAPORANGA,"R$ 26.528,58"
77,269,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ITAPORANGA,"R$ 8.842,84"
78,270,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ITAPORANGA,"R$ 8.842,86"
79,461,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ITAPORANGA,"R$ 201.605,91"
80,543,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ITAPORANGA,"R$ 242.010,62"
81,557,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ITAPORANGA,"R$ 250.943,07"
82,657,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ITAPORANGA,"R$ 320.969,16"
83,480,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ITAPORANGA,"R$ 195.141,15"
84,533,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ITAPORANGA,"R$ 221.836,89"
85,589,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ITAPORANGA,"R$ 253.491,01"
86,626,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ITAPORANGA,"R$ 275.170,82"
87,476,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ITAPORANGA,"R$ 186.229,78"
88,538,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ITAPORANGA,"R$ 210.410,85"
89,553,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ITAPORANGA,"R$ 217.688,78"
90,666,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ITAPORANGA,"R$ 289.536,59"
91,292,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ITAPORANGA,"R$ 34.039,01"
