,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,392,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),JERICO,"R$ 12.254,00"
1,393,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),JERICO,"R$ 12.254,00"
2,394,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),JERICO,"R$ 12.254,00"
3,395,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),JERICO,"R$ 12.254,00"
4,288,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),JERICO,"R$ 12.254,00"
5,289,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),JERICO,"R$ 12.254,00"
6,288,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),JERICO,"R$ 12.254,00"
7,289,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),JERICO,"R$ 12.254,00"
8,58,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,JERICO,"R$ 10.000,00"
9,96,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,JERICO,"R$ 16.911,62"
10,204,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,JERICO,"R$ 4.260,00"
11,205,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,JERICO,"R$ 4.260,00"
12,378,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,JERICO,"R$ 10.000,00"
13,443,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,JERICO,"R$ 12.350,00"
14,744,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,JERICO,"R$ 64.850,00"
15,198,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,JERICO,"R$ 3.365,44"
16,199,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,JERICO,"R$ 3.365,44"
17,200,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,JERICO,"R$ 3.365,44"
18,201,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,JERICO,"R$ 3.365,44"
19,241,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,JERICO,"R$ 115.559,31"
20,318,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,JERICO,"R$ 137.320,24"
21,358,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,JERICO,"R$ 151.941,02"
22,456,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,JERICO,"R$ 190.026,43"
23,231,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,JERICO,"R$ 109.412,85"
24,321,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,JERICO,"R$ 135.634,34"
25,369,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,JERICO,"R$ 150.802,57"
26,450,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,JERICO,"R$ 182.536,41"
27,167,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,JERICO,"R$ 110.362,62"
28,230,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,JERICO,"R$ 133.718,30"
29,472,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,JERICO,"R$ 240.593,61"
30,541,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,JERICO,"R$ 290.384,83"
31,263,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,JERICO,"R$ 17.587,51"
32,264,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,JERICO,"R$ 17.587,51"
33,265,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,JERICO,"R$ 17.587,51"
