,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,380,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),JUAREZ TÁVORA,"R$ 12.138,00"
1,381,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),JUAREZ TÁVORA,"R$ 12.138,00"
2,382,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),JUAREZ TÁVORA,"R$ 12.138,00"
3,383,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),JUAREZ TÁVORA,"R$ 12.138,00"
4,279,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),JUAREZ TÁVORA,"R$ 12.138,00"
5,280,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),JUAREZ TÁVORA,"R$ 12.138,00"
6,281,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),JUAREZ TÁVORA,"R$ 12.138,00"
7,279,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),JUAREZ TÁVORA,"R$ 12.138,00"
8,280,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),JUAREZ TÁVORA,"R$ 12.138,00"
9,281,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),JUAREZ TÁVORA,"R$ 12.138,00"
10,257,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,JUAREZ TÁVORA,"R$ 5.740,00"
11,258,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,JUAREZ TÁVORA,"R$ 5.740,00"
12,391,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,JUAREZ TÁVORA,"R$ 165.848,68"
13,469,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,JUAREZ TÁVORA,"R$ 197.079,60"
14,521,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,JUAREZ TÁVORA,"R$ 218.068,09"
15,615,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,JUAREZ TÁVORA,"R$ 272.722,66"
16,384,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,JUAREZ TÁVORA,"R$ 157.027,40"
17,478,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,JUAREZ TÁVORA,"R$ 194.660,05"
