,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,205,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),JUNCO DO SERIDO,"R$ 8.554,00"
1,206,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),JUNCO DO SERIDO,"R$ 8.554,00"
2,207,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),JUNCO DO SERIDO,"R$ 8.554,00"
3,208,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),JUNCO DO SERIDO,"R$ 8.554,00"
4,149,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),JUNCO DO SERIDO,"R$ 8.554,00"
5,150,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),JUNCO DO SERIDO,"R$ 8.554,00"
6,151,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),JUNCO DO SERIDO,"R$ 8.554,00"
7,151,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),JUNCO DO SERIDO,"R$ 8.554,00"
8,152,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),JUNCO DO SERIDO,"R$ 8.554,00"
9,153,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),JUNCO DO SERIDO,"R$ 8.554,00"
10,49,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,JUNCO DO SERIDO,"R$ 8.750,00"
11,146,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,JUNCO DO SERIDO,"R$ 36.960,00"
12,295,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,JUNCO DO SERIDO,"R$ 6.500,00"
13,497,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,JUNCO DO SERIDO,"R$ 16.670,00"
14,518,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,JUNCO DO SERIDO,"R$ 18.448,00"
15,244,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,JUNCO DO SERIDO,"R$ 3.892,78"
16,245,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,JUNCO DO SERIDO,"R$ 3.892,78"
17,246,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,JUNCO DO SERIDO,"R$ 3.892,78"
18,247,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,JUNCO DO SERIDO,"R$ 3.892,78"
19,179,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,JUNCO DO SERIDO,"R$ 3.892,78"
20,180,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,JUNCO DO SERIDO,"R$ 3.892,78"
21,181,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,JUNCO DO SERIDO,"R$ 3.892,78"
22,179,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,JUNCO DO SERIDO,"R$ 3.892,78"
23,180,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,JUNCO DO SERIDO,"R$ 3.892,78"
24,181,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,JUNCO DO SERIDO,"R$ 3.892,78"
25,157,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,JUNCO DO SERIDO,"R$ 94.006,01"
26,229,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,JUNCO DO SERIDO,"R$ 111.708,28"
27,271,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,JUNCO DO SERIDO,"R$ 123.601,10"
28,364,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,JUNCO DO SERIDO,"R$ 154.584,09"
29,150,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,JUNCO DO SERIDO,"R$ 89.005,97"
30,235,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,JUNCO DO SERIDO,"R$ 110.336,82"
31,283,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,JUNCO DO SERIDO,"R$ 122.676,00"
32,359,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,JUNCO DO SERIDO,"R$ 148.491,04"
33,114,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,JUNCO DO SERIDO,"R$ 89.778,61"
34,163,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,JUNCO DO SERIDO,"R$ 108.778,16"
35,385,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,JUNCO DO SERIDO,"R$ 195.719,84"
36,465,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,JUNCO DO SERIDO,"R$ 236.224,41"
37,187,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,JUNCO DO SERIDO,"R$ 14.307,22"
38,188,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,JUNCO DO SERIDO,"R$ 14.307,22"
39,189,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,JUNCO DO SERIDO,"R$ 14.307,22"
40,642,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,JUNCO DO SERIDO,"R$ 55.941,84"
41,140,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,JUNCO DO SERIDO,"R$ 14.297,81"
42,141,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,JUNCO DO SERIDO,"R$ 14.297,81"
43,340,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,JUNCO DO SERIDO,"R$ 24.684,71"
44,413,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,JUNCO DO SERIDO,"R$ 28.614,44"
45,188,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,JUNCO DO SERIDO,"R$ 14.297,81"
