,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,416,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),JURIPIRANGA,"R$ 13.450,00"
1,417,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),JURIPIRANGA,"R$ 13.450,00"
2,418,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),JURIPIRANGA,"R$ 13.450,00"
3,419,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),JURIPIRANGA,"R$ 13.450,00"
4,305,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),JURIPIRANGA,"R$ 13.450,00"
5,306,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),JURIPIRANGA,"R$ 13.450,00"
6,307,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),JURIPIRANGA,"R$ 13.450,00"
7,303,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),JURIPIRANGA,"R$ 13.450,00"
8,304,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),JURIPIRANGA,"R$ 13.450,00"
9,305,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),JURIPIRANGA,"R$ 13.450,00"
10,103,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,JURIPIRANGA,"R$ 18.758,01"
11,118,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,JURIPIRANGA,"R$ 25.000,00"
12,19,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,JURIPIRANGA,"R$ 870,00"
13,20,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,JURIPIRANGA,"R$ 870,00"
14,613,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,JURIPIRANGA,"R$ 29.630,00"
15,793,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,JURIPIRANGA,"R$ 90.719,00"
16,106,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,JURIPIRANGA,"R$ 2.370,01"
17,107,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,JURIPIRANGA,"R$ 2.370,01"
18,108,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,JURIPIRANGA,"R$ 2.370,01"
19,109,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,JURIPIRANGA,"R$ 2.370,01"
20,76,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,JURIPIRANGA,"R$ 2.370,01"
21,77,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,JURIPIRANGA,"R$ 2.370,01"
22,78,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,JURIPIRANGA,"R$ 2.370,01"
23,72,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,JURIPIRANGA,"R$ 2.370,01"
24,73,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,JURIPIRANGA,"R$ 2.370,01"
25,74,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,JURIPIRANGA,"R$ 2.370,03"
26,389,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,JURIPIRANGA,"R$ 164.776,26"
27,467,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,JURIPIRANGA,"R$ 195.805,23"
28,519,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,JURIPIRANGA,"R$ 216.662,38"
29,610,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,JURIPIRANGA,"R$ 270.959,15"
30,380,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,JURIPIRANGA,"R$ 156.012,02"
31,476,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,JURIPIRANGA,"R$ 193.401,32"
32,521,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,JURIPIRANGA,"R$ 215.029,74"
33,606,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,JURIPIRANGA,"R$ 260.279,06"
