,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,107,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),LAGOA,"R$ 5.982,00"
1,108,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),LAGOA,"R$ 5.982,00"
2,109,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),LAGOA,"R$ 5.982,00"
3,110,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),LAGOA,"R$ 5.982,00"
4,75,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),LAGOA,"R$ 5.982,00"
5,76,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),LAGOA,"R$ 5.982,00"
6,77,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),LAGOA,"R$ 5.982,00"
7,77,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),LAGOA,"R$ 5.982,00"
8,78,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),LAGOA,"R$ 5.982,00"
9,79,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),LAGOA,"R$ 5.982,00"
10,145,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,LAGOA,"R$ 2.970,00"
11,146,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,LAGOA,"R$ 2.970,00"
12,394,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,LAGOA,"R$ 10.000,00"
13,415,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,LAGOA,"R$ 11.530,00"
14,708,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,LAGOA,"R$ 52.538,00"
15,153,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,LAGOA,"R$ 2.811,35"
16,154,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,LAGOA,"R$ 2.811,35"
17,155,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,LAGOA,"R$ 2.811,35"
18,156,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,LAGOA,"R$ 2.811,35"
19,112,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,LAGOA,"R$ 2.811,35"
20,113,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,LAGOA,"R$ 2.811,35"
21,114,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,LAGOA,"R$ 2.811,35"
22,111,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,LAGOA,"R$ 2.811,35"
23,112,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,LAGOA,"R$ 2.811,35"
24,113,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,LAGOA,"R$ 2.811,49"
25,96,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,LAGOA,"R$ 77.266,74"
26,152,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,LAGOA,"R$ 91.816,80"
27,188,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,LAGOA,"R$ 101.596,31"
28,284,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,LAGOA,"R$ 127.057,91"
29,88,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,LAGOA,"R$ 73.157,02"
30,154,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,LAGOA,"R$ 90.689,55"
31,203,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,LAGOA,"R$ 100.831,54"
32,279,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,LAGOA,"R$ 122.049,83"
33,73,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,LAGOA,"R$ 73.792,06"
34,112,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,LAGOA,"R$ 89.408,45"
35,298,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,LAGOA,"R$ 160.868,76"
36,382,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,LAGOA,"R$ 194.160,81"
37,132,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,LAGOA,"R$ 11.759,59"
