,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,214,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),LOGRADOURO,"R$ 8.824,00"
1,215,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),LOGRADOURO,"R$ 8.824,00"
2,216,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),LOGRADOURO,"R$ 8.824,00"
3,217,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),LOGRADOURO,"R$ 8.824,00"
4,158,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),LOGRADOURO,"R$ 8.824,00"
5,159,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),LOGRADOURO,"R$ 8.824,00"
6,160,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),LOGRADOURO,"R$ 8.824,00"
7,157,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),LOGRADOURO,"R$ 8.824,00"
8,158,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),LOGRADOURO,"R$ 8.824,00"
9,159,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),LOGRADOURO,"R$ 8.824,00"
10,476,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,LOGRADOURO,"R$ 14.280,00"
11,800,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,LOGRADOURO,"R$ 95.037,00"
12,293,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,LOGRADOURO,"R$ 4.507,69"
13,294,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,LOGRADOURO,"R$ 4.507,69"
14,295,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,LOGRADOURO,"R$ 4.507,69"
15,296,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,LOGRADOURO,"R$ 4.507,69"
16,212,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,LOGRADOURO,"R$ 4.507,69"
17,213,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,LOGRADOURO,"R$ 4.507,69"
18,214,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,LOGRADOURO,"R$ 4.507,69"
19,212,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,LOGRADOURO,"R$ 4.507,62"
20,213,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,LOGRADOURO,"R$ 4.507,69"
21,214,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,LOGRADOURO,"R$ 4.507,69"
22,144,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,LOGRADOURO,"R$ 89.921,29"
23,214,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,LOGRADOURO,"R$ 106.854,34"
24,250,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,LOGRADOURO,"R$ 118.236,87"
25,345,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,LOGRADOURO,"R$ 147.867,12"
26,132,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,LOGRADOURO,"R$ 85.138,48"
27,217,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,LOGRADOURO,"R$ 105.542,48"
28,258,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,LOGRADOURO,"R$ 117.345,52"
29,339,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,LOGRADOURO,"R$ 142.038,83"
30,104,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,LOGRADOURO,"R$ 85.877,54"
31,151,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,LOGRADOURO,"R$ 104.051,55"
32,365,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,LOGRADOURO,"R$ 187.215,45"
33,445,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,LOGRADOURO,"R$ 225.959,99"
34,175,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,LOGRADOURO,"R$ 13.685,54"
35,176,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,LOGRADOURO,"R$ 13.685,54"
36,177,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,LOGRADOURO,"R$ 13.685,54"
37,680,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,LOGRADOURO,"R$ 64.068,45"
38,129,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,LOGRADOURO,"R$ 13.676,54"
39,130,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,LOGRADOURO,"R$ 13.676,54"
