,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,306,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MALTA,"R$ 10.240,00"
1,307,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MALTA,"R$ 10.240,00"
2,308,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MALTA,"R$ 10.240,00"
3,309,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MALTA,"R$ 10.240,00"
4,226,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MALTA,"R$ 10.240,00"
5,227,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MALTA,"R$ 10.240,00"
6,228,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MALTA,"R$ 10.240,00"
7,224,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MALTA,"R$ 10.240,00"
8,225,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MALTA,"R$ 10.240,00"
9,226,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MALTA,"R$ 10.240,00"
10,25,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,MALTA,"R$ 930,00"
11,30,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,MALTA,"R$ 930,00"
12,396,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,MALTA,"R$ 10.000,00"
13,488,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,MALTA,"R$ 15.410,00"
14,808,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,MALTA,"R$ 103.389,00"
15,33,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MALTA,"R$ 1.372,81"
16,34,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MALTA,"R$ 1.372,81"
17,35,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MALTA,"R$ 1.372,81"
18,36,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MALTA,"R$ 1.372,81"
19,28,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MALTA,"R$ 1.372,81"
20,29,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MALTA,"R$ 1.372,81"
21,30,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MALTA,"R$ 1.372,81"
22,26,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MALTA,"R$ 1.372,81"
23,27,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MALTA,"R$ 1.372,81"
24,28,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MALTA,"R$ 1.372,81"
25,206,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MALTA,"R$ 105.259,33"
26,279,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MALTA,"R$ 125.080,63"
27,322,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MALTA,"R$ 138.399,91"
28,415,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MALTA,"R$ 173.089,05"
29,195,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MALTA,"R$ 99.660,67"
30,286,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MALTA,"R$ 123.544,99"
31,330,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MALTA,"R$ 137.361,29"
32,411,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MALTA,"R$ 166.266,61"
33,145,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MALTA,"R$ 100.525,79"
34,202,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MALTA,"R$ 121.799,74"
35,435,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MALTA,"R$ 219.149,06"
36,511,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MALTA,"R$ 264.502,35"
37,232,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MALTA,"R$ 16.019,91"
38,233,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MALTA,"R$ 16.019,91"
39,234,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MALTA,"R$ 16.019,91"
40,688,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MALTA,"R$ 67.160,91"
41,178,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MALTA,"R$ 16.009,37"
42,179,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MALTA,"R$ 16.009,37"
43,438,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MALTA,"R$ 30.320,94"
44,469,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MALTA,"R$ 32.039,82"
45,234,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MALTA,"R$ 16.009,37"
46,235,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MALTA,"R$ 16.009,37"
47,236,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MALTA,"R$ 16.009,37"
48,608,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MALTA,"R$ 41.126,74"
49,7,12KV - IMPLANTACAO E ADEQUACAO DE ESTRUTURAS ESPORTIVAS ESCOLARES,MALTA,"R$ 15.291,37"
50,97,12KV - IMPLANTACAO E ADEQUACAO DE ESTRUTURAS ESPORTIVAS ESCOLARES,MALTA,"R$ 76.456,87"
51,19,8790 - APOIO A ALFABETIZACAO E A EDUCACAO DE JOVENS E ADULTOS,MALTA,"R$ 17.465,77"
52,120,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MALTA,"R$ 8.692,20"
53,263,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MALTA,"R$ 17.425,20"
54,194,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MALTA,"R$ 8.733,00"
