,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,436,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MANAIRA,"R$ 14.140,00"
1,437,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MANAIRA,"R$ 14.140,00"
2,438,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MANAIRA,"R$ 14.140,00"
3,439,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MANAIRA,"R$ 14.140,00"
4,320,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MANAIRA,"R$ 14.140,00"
5,321,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MANAIRA,"R$ 14.140,00"
6,322,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MANAIRA,"R$ 14.140,00"
7,318,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MANAIRA,"R$ 14.140,00"
8,319,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MANAIRA,"R$ 14.140,00"
9,320,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MANAIRA,"R$ 14.140,00"
10,420,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,MANAIRA,"R$ 11.730,00"
11,421,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,MANAIRA,"R$ 11.730,00"
12,429,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,MANAIRA,"R$ 12.000,00"
13,626,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,MANAIRA,"R$ 31.340,00"
14,794,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,MANAIRA,"R$ 91.398,00"
15,306,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MANAIRA,"R$ 4.601,39"
16,307,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MANAIRA,"R$ 4.601,39"
17,308,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MANAIRA,"R$ 4.601,39"
18,309,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MANAIRA,"R$ 4.601,39"
19,221,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MANAIRA,"R$ 4.601,39"
20,222,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MANAIRA,"R$ 4.601,39"
21,223,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MANAIRA,"R$ 4.601,39"
22,221,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MANAIRA,"R$ 4.601,39"
23,222,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MANAIRA,"R$ 4.601,39"
24,223,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MANAIRA,"R$ 4.601,43"
25,460,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MANAIRA,"R$ 191.310,31"
26,534,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MANAIRA,"R$ 227.335,93"
27,577,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MANAIRA,"R$ 251.539,75"
28,666,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MANAIRA,"R$ 314.591,94"
29,446,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MANAIRA,"R$ 181.134,78"
30,537,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MANAIRA,"R$ 224.544,90"
31,590,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MANAIRA,"R$ 249.656,19"
32,660,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MANAIRA,"R$ 302.192,06"
33,354,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MANAIRA,"R$ 182.707,13"
34,439,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MANAIRA,"R$ 221.372,86"
35,657,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MANAIRA,"R$ 398.306,70"
36,714,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MANAIRA,"R$ 480.736,91"
37,439,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MANAIRA,"R$ 29.116,42"
38,440,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MANAIRA,"R$ 29.116,42"
39,441,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MANAIRA,"R$ 29.116,42"
40,785,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MANAIRA,"R$ 115.192,45"
41,421,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MANAIRA,"R$ 29.097,27"
42,422,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MANAIRA,"R$ 29.097,27"
43,634,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MANAIRA,"R$ 51.033,54"
44,689,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MANAIRA,"R$ 58.232,84"
45,472,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MANAIRA,"R$ 29.097,27"
46,473,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MANAIRA,"R$ 29.097,27"
47,474,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MANAIRA,"R$ 29.097,27"
48,762,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MANAIRA,"R$ 74.748,47"
49,0,0E53 - AQUISICAO DE VEICULOS PARA O TRANSPORTE ESCOLAR DA EDUCACAO BASICA - CAMINHO DA ESCOLA,MANAIRA,"R$ 4.000,00"
50,130,12KV - IMPLANTACAO E ADEQUACAO DE ESTRUTURAS ESPORTIVAS ESCOLARES,MANAIRA,"R$ 253.350,43"
51,101,20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA,MANAIRA,"R$ 179.957,00"
52,109,20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA,MANAIRA,"R$ 240.500,00"
53,71,8790 - APOIO A ALFABETIZACAO E A EDUCACAO DE JOVENS E ADULTOS,MANAIRA,"R$ 57.626,87"
54,252,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MANAIRA,"R$ 15.999,80"
