,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,686,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MARI,"R$ 28.448,00"
1,687,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MARI,"R$ 28.448,00"
2,688,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MARI,"R$ 28.448,00"
3,689,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MARI,"R$ 28.448,00"
4,502,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MARI,"R$ 28.448,00"
5,503,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MARI,"R$ 28.448,00"
6,504,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MARI,"R$ 28.448,00"
7,505,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MARI,"R$ 28.448,00"
8,506,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MARI,"R$ 28.448,00"
9,507,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MARI,"R$ 28.448,00"
10,133,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,MARI,"R$ 31.250,00"
11,107,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,MARI,"R$ 2.380,00"
12,108,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,MARI,"R$ 2.380,00"
13,154,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,MARI,"R$ 3.180,00"
14,319,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,MARI,"R$ 7.500,00"
15,683,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,MARI,"R$ 45.000,00"
16,713,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,MARI,"R$ 53.130,00"
17,887,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,MARI,"R$ 314.276,00"
18,177,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MARI,"R$ 3.142,57"
19,282,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MARI,"R$ 4.318,45"
20,283,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MARI,"R$ 4.318,45"
21,284,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MARI,"R$ 4.318,45"
22,203,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MARI,"R$ 4.318,45"
23,204,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MARI,"R$ 4.318,45"
24,205,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MARI,"R$ 4.318,45"
25,203,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MARI,"R$ 4.318,45"
26,204,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MARI,"R$ 4.318,45"
27,205,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MARI,"R$ 4.318,49"
28,606,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MARI,"R$ 266.713,45"
29,672,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MARI,"R$ 316.938,14"
30,706,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MARI,"R$ 350.698,64"
31,766,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MARI,"R$ 438.585,27"
32,596,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MARI,"R$ 252.527,27"
33,675,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MARI,"R$ 313.047,08"
34,710,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MARI,"R$ 348.055,71"
35,765,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MARI,"R$ 421.298,09"
36,495,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MARI,"R$ 254.719,36"
37,566,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MARI,"R$ 308.624,80"
38,747,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MARI,"R$ 555.295,36"
39,790,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MARI,"R$ 670.214,66"
40,549,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MARI,"R$ 40.592,37"
41,550,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MARI,"R$ 40.592,37"
42,551,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MARI,"R$ 40.592,37"
43,840,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MARI,"R$ 188.545,94"
44,553,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MARI,"R$ 40.565,68"
45,554,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MARI,"R$ 40.565,68"
46,764,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MARI,"R$ 81.184,74"
47,779,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MARI,"R$ 87.720,07"
48,598,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MARI,"R$ 40.565,68"
49,599,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MARI,"R$ 40.565,68"
50,600,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MARI,"R$ 40.565,68"
51,823,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MARI,"R$ 104.209,85"
52,21,12KV - IMPLANTACAO E ADEQUACAO DE ESTRUTURAS ESPORTIVAS ESCOLARES,MARI,"R$ 18.489,64"
53,44,20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA,MARI,"R$ 41.926,59"
54,67,20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA,MARI,"R$ 83.853,19"
55,22,"214V - APOIO A ALFABETIZACAO, A EDUCACAO DE JOVENS E ADULTOS E A PROGRAMAS DE ELEVACAO DE ESCOLARIDADE, COM QUALIFICACAO PROFISSIONAL E PARTICIPACAO CIDADA",MARI,"R$ 35.105,00"
56,28,"214V - APOIO A ALFABETIZACAO, A EDUCACAO DE JOVENS E ADULTOS E A PROGRAMAS DE ELEVACAO DE ESCOLARIDADE, COM QUALIFICACAO PROFISSIONAL E PARTICIPACAO CIDADA",MARI,"R$ 48.195,00"
57,35,"214V - APOIO A ALFABETIZACAO, A EDUCACAO DE JOVENS E ADULTOS E A PROGRAMAS DE ELEVACAO DE ESCOLARIDADE, COM QUALIFICACAO PROFISSIONAL E PARTICIPACAO CIDADA",MARI,"R$ 65.790,00"
58,57,8790 - APOIO A ALFABETIZACAO E A EDUCACAO DE JOVENS E ADULTOS,MARI,"R$ 47.999,95"
59,121,8790 - APOIO A ALFABETIZACAO E A EDUCACAO DE JOVENS E ADULTOS,MARI,"R$ 296.208,90"
