,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,589,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MASSARANDUBA,"R$ 21.024,00"
1,590,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MASSARANDUBA,"R$ 21.024,00"
2,591,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MASSARANDUBA,"R$ 21.024,00"
3,592,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MASSARANDUBA,"R$ 21.024,00"
4,431,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MASSARANDUBA,"R$ 21.024,00"
5,432,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MASSARANDUBA,"R$ 21.024,00"
6,433,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MASSARANDUBA,"R$ 21.024,00"
7,433,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MASSARANDUBA,"R$ 21.024,00"
8,434,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MASSARANDUBA,"R$ 21.024,00"
9,435,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MASSARANDUBA,"R$ 21.024,00"
10,79,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,MASSARANDUBA,"R$ 1.670,00"
11,298,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,MASSARANDUBA,"R$ 6.500,00"
12,450,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,MASSARANDUBA,"R$ 12.990,00"
13,457,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,MASSARANDUBA,"R$ 13.000,00"
14,480,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,MASSARANDUBA,"R$ 14.660,00"
15,536,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,MASSARANDUBA,"R$ 20.000,00"
16,631,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,MASSARANDUBA,"R$ 32.150,00"
17,809,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,MASSARANDUBA,"R$ 104.521,00"
18,687,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MASSARANDUBA,"R$ 13.843,64"
19,688,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MASSARANDUBA,"R$ 13.843,64"
20,689,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MASSARANDUBA,"R$ 13.843,64"
21,690,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MASSARANDUBA,"R$ 13.843,64"
22,496,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MASSARANDUBA,"R$ 13.843,64"
23,497,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MASSARANDUBA,"R$ 13.843,64"
24,498,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MASSARANDUBA,"R$ 13.843,64"
25,493,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MASSARANDUBA,"R$ 13.843,60"
26,494,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MASSARANDUBA,"R$ 13.843,64"
27,495,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MASSARANDUBA,"R$ 13.843,64"
28,565,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MASSARANDUBA,"R$ 244.235,48"
29,635,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MASSARANDUBA,"R$ 290.227,37"
30,675,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MASSARANDUBA,"R$ 321.134,74"
31,741,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MASSARANDUBA,"R$ 401.622,39"
32,555,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MASSARANDUBA,"R$ 231.244,91"
33,642,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MASSARANDUBA,"R$ 286.664,25"
34,682,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MASSARANDUBA,"R$ 318.722,45"
35,738,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MASSARANDUBA,"R$ 385.792,12"
36,457,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MASSARANDUBA,"R$ 233.252,24"
37,533,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MASSARANDUBA,"R$ 282.614,67"
38,726,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MASSARANDUBA,"R$ 508.496,46"
39,767,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MASSARANDUBA,"R$ 613.730,64"
