,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,561,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MATARACA,"R$ 18.882,00"
1,562,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MATARACA,"R$ 18.882,00"
2,563,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MATARACA,"R$ 18.882,00"
3,564,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MATARACA,"R$ 18.882,00"
4,410,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MATARACA,"R$ 18.882,00"
5,411,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MATARACA,"R$ 18.882,00"
6,412,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MATARACA,"R$ 18.882,00"
7,412,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MATARACA,"R$ 18.882,00"
8,413,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MATARACA,"R$ 18.882,00"
9,414,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MATARACA,"R$ 18.882,00"
10,115,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,MATARACA,"R$ 23.750,00"
11,137,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,MATARACA,"R$ 32.538,25"
12,619,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,MATARACA,"R$ 30.230,00"
13,735,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,MATARACA,"R$ 61.360,00"
14,528,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MATARACA,"R$ 7.921,61"
15,529,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MATARACA,"R$ 7.921,61"
16,530,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MATARACA,"R$ 7.921,61"
17,531,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MATARACA,"R$ 7.921,61"
18,386,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MATARACA,"R$ 7.921,61"
19,387,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MATARACA,"R$ 7.921,61"
20,388,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MATARACA,"R$ 7.921,61"
21,389,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MATARACA,"R$ 7.921,61"
22,390,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MATARACA,"R$ 7.921,61"
23,391,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MATARACA,"R$ 7.921,66"
24,445,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MATARACA,"R$ 186.510,66"
