,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,30,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MATO GROSSO,"R$ 3.832,00"
1,31,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MATO GROSSO,"R$ 3.832,00"
2,32,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MATO GROSSO,"R$ 3.832,00"
3,33,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MATO GROSSO,"R$ 3.832,00"
4,17,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MATO GROSSO,"R$ 3.832,00"
5,18,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MATO GROSSO,"R$ 3.832,00"
6,19,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MATO GROSSO,"R$ 3.832,00"
7,17,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MATO GROSSO,"R$ 3.832,00"
8,18,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MATO GROSSO,"R$ 3.832,00"
9,19,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MATO GROSSO,"R$ 3.832,00"
10,86,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,MATO GROSSO,"R$ 16.250,00"
11,143,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,MATO GROSSO,"R$ 2.960,00"
12,144,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,MATO GROSSO,"R$ 2.960,00"
13,212,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,MATO GROSSO,"R$ 4.350,00"
14,409,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,MATO GROSSO,"R$ 11.270,00"
15,557,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,MATO GROSSO,"R$ 22.720,00"
16,85,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MATO GROSSO,"R$ 2.158,49"
17,86,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MATO GROSSO,"R$ 2.158,49"
18,87,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MATO GROSSO,"R$ 2.158,49"
19,88,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MATO GROSSO,"R$ 2.158,49"
20,64,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MATO GROSSO,"R$ 2.158,49"
21,65,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MATO GROSSO,"R$ 2.158,49"
22,66,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MATO GROSSO,"R$ 2.158,49"
23,59,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MATO GROSSO,"R$ 2.158,47"
24,60,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MATO GROSSO,"R$ 2.158,49"
25,61,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MATO GROSSO,"R$ 2.158,49"
26,8,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MATO GROSSO,"R$ 40.990,29"
27,15,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MATO GROSSO,"R$ 48.709,16"
28,24,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MATO GROSSO,"R$ 53.895,59"
29,57,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MATO GROSSO,"R$ 67.404,71"
30,8,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MATO GROSSO,"R$ 38.810,08"
31,16,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MATO GROSSO,"R$ 48.111,18"
32,27,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MATO GROSSO,"R$ 53.491,54"
33,56,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MATO GROSSO,"R$ 64.747,89"
34,6,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MATO GROSSO,"R$ 39.146,98"
35,13,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MATO GROSSO,"R$ 47.431,52"
36,100,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MATO GROSSO,"R$ 85.341,52"
37,149,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MATO GROSSO,"R$ 103.003,08"
38,9,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MATO GROSSO,"R$ 6.238,51"
39,10,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MATO GROSSO,"R$ 6.238,51"
40,11,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MATO GROSSO,"R$ 6.238,51"
41,379,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MATO GROSSO,"R$ 25.479,17"
42,8,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MATO GROSSO,"R$ 6.234,40"
43,9,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MATO GROSSO,"R$ 6.234,40"
44,88,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MATO GROSSO,"R$ 11.407,58"
45,113,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MATO GROSSO,"R$ 12.477,02"
46,9,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MATO GROSSO,"R$ 6.234,40"
47,10,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MATO GROSSO,"R$ 6.234,40"
48,11,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MATO GROSSO,"R$ 6.234,40"
49,237,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MATO GROSSO,"R$ 16.015,66"
50,2,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MATO GROSSO,"R$ 3.153,20"
51,35,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MATO GROSSO,"R$ 5.141,20"
52,55,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MATO GROSSO,"R$ 5.141,20"
53,56,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MATO GROSSO,"R$ 5.141,20"
54,57,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MATO GROSSO,"R$ 5.141,20"
55,58,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MATO GROSSO,"R$ 5.141,20"
56,8,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MATO GROSSO,"R$ 3.153,20"
57,69,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MATO GROSSO,"R$ 5.141,20"
58,70,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MATO GROSSO,"R$ 5.141,20"
59,71,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MATO GROSSO,"R$ 5.141,20"
60,88,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,MATO GROSSO,"R$ 3.370,00"
61,113,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,MATO GROSSO,"R$ 4.480,00"
62,44,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,MATO GROSSO,"R$ 1.270,00"
63,187,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,MATO GROSSO,"R$ 3.370,00"
64,274,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,MATO GROSSO,"R$ 5.750,00"
65,406,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,MATO GROSSO,"R$ 11.400,00"
66,89,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MATO GROSSO,"R$ 2.265,08"
67,90,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MATO GROSSO,"R$ 2.265,08"
68,296,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MATO GROSSO,"R$ 4.530,16"
69,9,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MATO GROSSO,"R$ 47.037,60"
70,20,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MATO GROSSO,"R$ 56.464,60"
71,24,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MATO GROSSO,"R$ 58.549,44"
72,70,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MATO GROSSO,"R$ 74.886,77"
73,10,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MATO GROSSO,"R$ 45.529,28"
74,17,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MATO GROSSO,"R$ 51.757,75"
75,31,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MATO GROSSO,"R$ 59.143,15"
76,46,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MATO GROSSO,"R$ 64.201,33"
77,10,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MATO GROSSO,"R$ 43.450,10"
78,18,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MATO GROSSO,"R$ 49.091,91"
79,21,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MATO GROSSO,"R$ 50.789,95"
80,71,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MATO GROSSO,"R$ 67.553,10"
