,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,513,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MATURÉIA,"R$ 17.324,00"
1,514,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MATURÉIA,"R$ 17.324,00"
2,515,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MATURÉIA,"R$ 17.324,00"
3,516,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MATURÉIA,"R$ 17.324,00"
4,375,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MATURÉIA,"R$ 17.324,00"
5,376,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MATURÉIA,"R$ 17.324,00"
6,377,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MATURÉIA,"R$ 17.324,00"
7,375,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MATURÉIA,"R$ 17.324,00"
8,376,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MATURÉIA,"R$ 17.324,00"
9,377,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MATURÉIA,"R$ 17.324,00"
10,8,0509 - APOIO AO DESENVOLVIMENTO DA EDUCACAO BASICA,MATURÉIA,"R$ 113.105,68"
11,0,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,MATURÉIA,"R$ 188,66"
12,108,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,MATURÉIA,"R$ 21.000,00"
13,266,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,MATURÉIA,"R$ 5.800,00"
14,565,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,MATURÉIA,"R$ 23.880,00"
15,687,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,MATURÉIA,"R$ 45.546,00"
16,407,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MATURÉIA,"R$ 5.969,97"
17,408,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MATURÉIA,"R$ 5.969,97"
18,409,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MATURÉIA,"R$ 5.969,97"
19,410,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MATURÉIA,"R$ 5.969,97"
20,295,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MATURÉIA,"R$ 5.969,97"
21,296,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MATURÉIA,"R$ 5.969,97"
22,297,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MATURÉIA,"R$ 5.969,97"
23,297,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MATURÉIA,"R$ 5.969,91"
