,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,773,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MOGEIRO,"R$ 37.214,00"
1,774,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MOGEIRO,"R$ 37.214,00"
2,775,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MOGEIRO,"R$ 37.214,00"
3,776,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MOGEIRO,"R$ 37.214,00"
4,563,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MOGEIRO,"R$ 37.214,00"
5,564,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MOGEIRO,"R$ 37.214,00"
6,565,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MOGEIRO,"R$ 37.214,00"
7,566,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MOGEIRO,"R$ 37.214,00"
8,567,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MOGEIRO,"R$ 37.214,00"
9,568,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MOGEIRO,"R$ 37.214,00"
10,27,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,MOGEIRO,"R$ 6.250,00"
11,280,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,MOGEIRO,"R$ 6.210,00"
12,282,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,MOGEIRO,"R$ 6.210,00"
13,300,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,MOGEIRO,"R$ 6.500,00"
14,430,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,MOGEIRO,"R$ 12.000,00"
15,696,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,MOGEIRO,"R$ 47.290,00"
16,883,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,MOGEIRO,"R$ 276.297,00"
17,715,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MOGEIRO,"R$ 14.829,62"
18,716,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MOGEIRO,"R$ 14.829,62"
19,717,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MOGEIRO,"R$ 14.829,62"
20,718,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MOGEIRO,"R$ 14.829,62"
21,515,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MOGEIRO,"R$ 14.829,62"
22,516,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MOGEIRO,"R$ 14.829,62"
23,517,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MOGEIRO,"R$ 14.829,62"
