,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,226,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MONTADAS,"R$ 8.990,00"
1,227,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MONTADAS,"R$ 8.990,00"
2,228,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MONTADAS,"R$ 8.990,00"
3,229,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MONTADAS,"R$ 8.990,00"
4,167,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MONTADAS,"R$ 8.990,00"
5,168,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MONTADAS,"R$ 8.990,00"
6,169,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MONTADAS,"R$ 8.990,00"
7,166,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MONTADAS,"R$ 8.990,00"
8,167,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MONTADAS,"R$ 8.990,00"
9,168,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MONTADAS,"R$ 8.990,00"
10,541,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,MONTADAS,"R$ 20.340,00"
11,764,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,MONTADAS,"R$ 77.545,00"
12,351,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MONTADAS,"R$ 5.196,15"
13,352,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MONTADAS,"R$ 5.196,15"
14,353,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MONTADAS,"R$ 5.196,15"
15,354,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MONTADAS,"R$ 5.196,15"
16,253,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MONTADAS,"R$ 5.196,15"
17,254,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MONTADAS,"R$ 5.196,15"
18,255,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MONTADAS,"R$ 5.196,15"
19,254,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MONTADAS,"R$ 5.196,15"
20,255,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MONTADAS,"R$ 5.196,15"
21,256,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MONTADAS,"R$ 5.196,15"
22,256,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MONTADAS,"R$ 120.082,53"
23,333,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MONTADAS,"R$ 142.695,20"
24,375,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MONTADAS,"R$ 157.892,78"
25,472,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MONTADAS,"R$ 197.464,48"
26,247,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MONTADAS,"R$ 113.695,50"
27,338,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MONTADAS,"R$ 140.943,36"
28,383,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MONTADAS,"R$ 156.705,30"
29,468,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MONTADAS,"R$ 189.681,27"
30,179,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MONTADAS,"R$ 114.682,45"
31,243,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MONTADAS,"R$ 138.952,31"
32,485,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MONTADAS,"R$ 250.010,93"
33,558,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MONTADAS,"R$ 301.751,12"
34,275,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MONTADAS,"R$ 18.275,92"
35,276,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MONTADAS,"R$ 18.275,92"
36,277,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MONTADAS,"R$ 18.275,92"
37,712,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MONTADAS,"R$ 80.860,39"
38,224,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MONTADAS,"R$ 18.263,91"
39,225,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MONTADAS,"R$ 18.263,91"
40,504,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MONTADAS,"R$ 36.551,84"
41,510,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MONTADAS,"R$ 37.105,65"
42,280,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MONTADAS,"R$ 18.263,91"
43,281,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MONTADAS,"R$ 18.263,91"
44,282,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MONTADAS,"R$ 18.263,91"
45,646,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MONTADAS,"R$ 46.918,46"
46,37,12KV - IMPLANTACAO E ADEQUACAO DE ESTRUTURAS ESPORTIVAS ESCOLARES,MONTADAS,"R$ 25.485,62"
47,15,8790 - APOIO A ALFABETIZACAO E A EDUCACAO DE JOVENS E ADULTOS,MONTADAS,"R$ 13.926,67"
