,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,457,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MULUNGU,"R$ 14.918,00"
1,458,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MULUNGU,"R$ 14.918,00"
2,459,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MULUNGU,"R$ 14.918,00"
3,460,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MULUNGU,"R$ 14.918,00"
4,335,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MULUNGU,"R$ 14.918,00"
5,336,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MULUNGU,"R$ 14.918,00"
6,337,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MULUNGU,"R$ 14.918,00"
7,335,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MULUNGU,"R$ 14.918,00"
8,336,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MULUNGU,"R$ 14.918,00"
9,337,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MULUNGU,"R$ 14.918,00"
10,131,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,MULUNGU,"R$ 28.533,47"
11,474,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,MULUNGU,"R$ 14.090,00"
12,790,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,MULUNGU,"R$ 88.584,00"
13,334,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MULUNGU,"R$ 143.284,95"
