,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,209,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),NATUBA,"R$ 8.666,00"
1,339,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),NATUBA,"R$ 10.867,00"
2,690,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),NATUBA,"R$ 29.570,00"
3,691,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),NATUBA,"R$ 29.570,00"
4,152,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),NATUBA,"R$ 8.666,00"
5,153,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),NATUBA,"R$ 8.666,00"
6,154,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),NATUBA,"R$ 8.666,00"
7,233,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),NATUBA,"R$ 10.398,58"
8,463,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),NATUBA,"R$ 24.670,00"
9,492,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),NATUBA,"R$ 26.962,00"
10,29,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,NATUBA,"R$ 6.250,00"
11,196,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,NATUBA,"R$ 4.020,00"
12,197,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,NATUBA,"R$ 4.020,00"
13,633,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,NATUBA,"R$ 32.500,00"
14,647,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,NATUBA,"R$ 36.550,00"
15,656,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,NATUBA,"R$ 38.000,00"
16,851,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,NATUBA,"R$ 167.616,00"
17,663,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,NATUBA,"R$ 12.804,37"
18,664,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,NATUBA,"R$ 12.804,37"
19,665,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,NATUBA,"R$ 12.804,37"
20,666,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,NATUBA,"R$ 12.804,37"
21,479,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,NATUBA,"R$ 12.804,37"
22,480,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,NATUBA,"R$ 12.804,37"
23,477,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,NATUBA,"R$ 12.804,31"
24,579,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,NATUBA,"R$ 38.413,11"
