,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,250,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),OLIVEDOS,"R$ 9.200,00"
1,251,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),OLIVEDOS,"R$ 9.200,00"
2,252,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),OLIVEDOS,"R$ 9.200,00"
3,253,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),OLIVEDOS,"R$ 9.200,00"
4,184,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),OLIVEDOS,"R$ 9.200,00"
5,185,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),OLIVEDOS,"R$ 9.200,00"
6,186,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),OLIVEDOS,"R$ 9.200,00"
7,182,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),OLIVEDOS,"R$ 9.200,00"
8,183,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),OLIVEDOS,"R$ 9.200,00"
9,184,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),OLIVEDOS,"R$ 9.200,00"
10,61,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,OLIVEDOS,"R$ 10.000,00"
11,182,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,OLIVEDOS,"R$ 3.690,00"
12,183,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,OLIVEDOS,"R$ 3.690,00"
13,470,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,OLIVEDOS,"R$ 14.000,00"
14,573,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,OLIVEDOS,"R$ 24.743,00"
15,165,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,OLIVEDOS,"R$ 2.943,24"
16,166,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,OLIVEDOS,"R$ 2.943,24"
17,167,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,OLIVEDOS,"R$ 2.943,24"
18,168,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,OLIVEDOS,"R$ 2.943,24"
19,121,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,OLIVEDOS,"R$ 2.943,24"
20,122,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,OLIVEDOS,"R$ 2.943,24"
21,123,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,OLIVEDOS,"R$ 2.943,24"
22,120,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,OLIVEDOS,"R$ 2.943,18"
23,121,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,OLIVEDOS,"R$ 2.943,24"
24,122,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,OLIVEDOS,"R$ 2.943,24"
25,104,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,OLIVEDOS,"R$ 80.722,32"
26,165,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,OLIVEDOS,"R$ 95.923,10"
27,210,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,OLIVEDOS,"R$ 106.137,36"
28,301,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,OLIVEDOS,"R$ 132.740,25"
29,100,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,OLIVEDOS,"R$ 76.428,78"
30,168,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,OLIVEDOS,"R$ 94.745,45"
31,215,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,OLIVEDOS,"R$ 105.341,00"
32,295,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,OLIVEDOS,"R$ 127.508,21"
33,80,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,OLIVEDOS,"R$ 77.092,25"
34,120,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,OLIVEDOS,"R$ 93.407,03"
35,316,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,OLIVEDOS,"R$ 168.063,22"
36,399,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,OLIVEDOS,"R$ 202.844,21"
37,142,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,OLIVEDOS,"R$ 12.285,51"
38,143,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,OLIVEDOS,"R$ 12.285,51"
39,144,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,OLIVEDOS,"R$ 12.285,51"
40,617,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,OLIVEDOS,"R$ 51.262,15"
41,103,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,OLIVEDOS,"R$ 12.277,43"
