,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,21,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PARARI,"R$ 3.628,00"
1,22,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PARARI,"R$ 3.628,00"
2,23,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PARARI,"R$ 3.628,00"
3,24,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PARARI,"R$ 3.628,00"
4,12,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PARARI,"R$ 3.628,00"
5,13,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PARARI,"R$ 3.628,00"
6,12,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PARARI,"R$ 3.628,00"
7,13,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PARARI,"R$ 3.628,00"
8,119,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PARARI,"R$ 2.590,00"
9,371,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PARARI,"R$ 9.846,00"
10,61,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PARARI,"R$ 1.864,02"
11,62,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PARARI,"R$ 1.864,02"
12,63,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PARARI,"R$ 1.864,02"
13,64,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PARARI,"R$ 1.864,02"
14,48,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PARARI,"R$ 1.864,02"
15,44,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PARARI,"R$ 1.864,04"
16,376,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PARARI,"R$ 7.456,08"
