,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,7,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PASSAGEM,"R$ 1.430,00"
1,42,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PASSAGEM,"R$ 4.310,00"
2,171,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PASSAGEM,"R$ 7.422,00"
3,172,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PASSAGEM,"R$ 7.422,00"
4,122,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PASSAGEM,"R$ 7.422,00"
5,123,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PASSAGEM,"R$ 7.422,00"
6,130,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PASSAGEM,"R$ 7.662,96"
7,124,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PASSAGEM,"R$ 7.422,00"
8,125,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PASSAGEM,"R$ 7.422,00"
9,126,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PASSAGEM,"R$ 7.422,00"
10,33,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PASSAGEM,"R$ 8.300,00"
11,100,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PASSAGEM,"R$ 17.870,84"
12,33,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PASSAGEM,"R$ 1.020,00"
13,36,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PASSAGEM,"R$ 1.020,00"
14,339,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PASSAGEM,"R$ 8.010,00"
15,720,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PASSAGEM,"R$ 56.156,00"
