,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,837,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PEDRAS DE FOGO,"R$ 67.406,00"
1,838,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PEDRAS DE FOGO,"R$ 67.406,00"
2,839,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PEDRAS DE FOGO,"R$ 67.406,00"
3,840,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PEDRAS DE FOGO,"R$ 67.406,00"
4,613,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PEDRAS DE FOGO,"R$ 67.406,00"
5,614,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PEDRAS DE FOGO,"R$ 67.406,00"
6,615,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PEDRAS DE FOGO,"R$ 67.406,00"
7,617,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PEDRAS DE FOGO,"R$ 67.406,00"
8,618,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PEDRAS DE FOGO,"R$ 67.406,00"
9,619,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PEDRAS DE FOGO,"R$ 67.406,00"
10,5,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PEDRAS DE FOGO,"R$ 3.143,06"
11,587,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PEDRAS DE FOGO,"R$ 26.870,00"
12,791,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PEDRAS DE FOGO,"R$ 90.050,00"
13,798,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PEDRAS DE FOGO,"R$ 93.030,00"
14,890,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PEDRAS DE FOGO,"R$ 331.803,00"
15,795,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PEDRAS DE FOGO,"R$ 37.958,04"
16,796,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PEDRAS DE FOGO,"R$ 37.958,04"
17,797,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PEDRAS DE FOGO,"R$ 37.958,04"
18,798,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PEDRAS DE FOGO,"R$ 37.958,04"
19,579,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PEDRAS DE FOGO,"R$ 37.958,04"
20,580,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PEDRAS DE FOGO,"R$ 37.958,04"
21,581,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PEDRAS DE FOGO,"R$ 37.958,04"
22,576,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PEDRAS DE FOGO,"R$ 37.958,04"
23,577,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PEDRAS DE FOGO,"R$ 37.958,04"
24,578,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PEDRAS DE FOGO,"R$ 37.958,10"
25,825,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PEDRAS DE FOGO,"R$ 644.305,65"
26,846,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PEDRAS DE FOGO,"R$ 765.634,59"
27,854,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PEDRAS DE FOGO,"R$ 847.171,70"
28,868,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PEDRAS DE FOGO,"R$ 1.059.500,33"
29,824,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PEDRAS DE FOGO,"R$ 610.035,82"
30,846,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PEDRAS DE FOGO,"R$ 756.234,88"
31,855,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PEDRAS DE FOGO,"R$ 840.806,04"
32,868,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PEDRAS DE FOGO,"R$ 1.017.739,27"
33,768,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PEDRAS DE FOGO,"R$ 615.331,29"
34,809,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PEDRAS DE FOGO,"R$ 745.551,89"
35,861,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PEDRAS DE FOGO,"R$ 1.341.439,53"
36,872,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PEDRAS DE FOGO,"R$ 1.619.052,68"
37,752,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PEDRAS DE FOGO,"R$ 98.059,90"
38,753,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PEDRAS DE FOGO,"R$ 98.059,90"
39,754,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PEDRAS DE FOGO,"R$ 98.059,90"
40,877,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PEDRAS DE FOGO,"R$ 424.309,34"
41,807,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PEDRAS DE FOGO,"R$ 97.995,42"
42,808,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PEDRAS DE FOGO,"R$ 97.995,42"
43,868,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PEDRAS DE FOGO,"R$ 193.429,75"
44,870,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PEDRAS DE FOGO,"R$ 196.119,80"
45,808,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PEDRAS DE FOGO,"R$ 97.995,42"
46,809,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PEDRAS DE FOGO,"R$ 97.995,42"
47,810,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PEDRAS DE FOGO,"R$ 97.995,42"
48,877,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PEDRAS DE FOGO,"R$ 251.742,08"
49,19,12KV - IMPLANTACAO E ADEQUACAO DE ESTRUTURAS ESPORTIVAS ESCOLARES,PEDRAS DE FOGO,"R$ 15.300,00"
50,130,8790 - APOIO A ALFABETIZACAO E A EDUCACAO DE JOVENS E ADULTOS,PEDRAS DE FOGO,"R$ 840.034,42"
