,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,769,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PICUÍ,"R$ 36.310,00"
1,770,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PICUÍ,"R$ 36.310,00"
2,771,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PICUÍ,"R$ 36.310,00"
3,772,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PICUÍ,"R$ 36.310,00"
4,560,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PICUÍ,"R$ 36.310,00"
5,561,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PICUÍ,"R$ 36.310,00"
6,562,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PICUÍ,"R$ 36.310,00"
7,563,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PICUÍ,"R$ 36.310,00"
8,564,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PICUÍ,"R$ 36.310,00"
9,565,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PICUÍ,"R$ 36.310,00"
10,88,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PICUÍ,"R$ 16.250,00"
11,172,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PICUÍ,"R$ 86.636,19"
12,40,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PICUÍ,"R$ 1.080,00"
13,41,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PICUÍ,"R$ 1.080,00"
14,603,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PICUÍ,"R$ 28.730,00"
15,705,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PICUÍ,"R$ 51.510,00"
16,831,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PICUÍ,"R$ 131.000,00"
17,834,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PICUÍ,"R$ 132.624,00"
18,699,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PICUÍ,"R$ 14.135,81"
19,700,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PICUÍ,"R$ 14.135,81"
20,701,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PICUÍ,"R$ 14.135,81"
21,702,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PICUÍ,"R$ 14.135,81"
22,503,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PICUÍ,"R$ 14.135,81"
23,504,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PICUÍ,"R$ 14.135,81"
24,505,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PICUÍ,"R$ 14.135,81"
25,500,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PICUÍ,"R$ 14.135,81"
