,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,404,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PIRPIRITUBA,"R$ 12.804,00"
1,405,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PIRPIRITUBA,"R$ 12.804,00"
2,406,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PIRPIRITUBA,"R$ 12.804,00"
3,407,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PIRPIRITUBA,"R$ 12.804,00"
4,296,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PIRPIRITUBA,"R$ 12.804,00"
5,297,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PIRPIRITUBA,"R$ 12.804,00"
6,298,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PIRPIRITUBA,"R$ 12.804,00"
7,294,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PIRPIRITUBA,"R$ 12.804,00"
8,295,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PIRPIRITUBA,"R$ 12.804,00"
9,296,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PIRPIRITUBA,"R$ 12.804,00"
10,83,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PIRPIRITUBA,"R$ 1.710,00"
11,559,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PIRPIRITUBA,"R$ 22.880,00"
12,821,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PIRPIRITUBA,"R$ 120.099,00"
13,142,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PIRPIRITUBA,"R$ 2.655,81"
14,143,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PIRPIRITUBA,"R$ 2.655,81"
15,363,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PIRPIRITUBA,"R$ 5.311,62"
16,103,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PIRPIRITUBA,"R$ 2.655,81"
17,104,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PIRPIRITUBA,"R$ 2.655,81"
18,105,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PIRPIRITUBA,"R$ 2.655,81"
19,99,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PIRPIRITUBA,"R$ 2.655,81"
20,100,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PIRPIRITUBA,"R$ 2.655,81"
21,101,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PIRPIRITUBA,"R$ 2.655,81"
22,242,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PIRPIRITUBA,"R$ 116.755,64"
23,323,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PIRPIRITUBA,"R$ 138.741,85"
24,361,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PIRPIRITUBA,"R$ 153.519,49"
25,461,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PIRPIRITUBA,"R$ 191.993,73"
26,236,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PIRPIRITUBA,"R$ 110.545,58"
27,329,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PIRPIRITUBA,"R$ 137.038,53"
28,372,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PIRPIRITUBA,"R$ 152.363,80"
29,454,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PIRPIRITUBA,"R$ 184.426,15"
30,170,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PIRPIRITUBA,"R$ 111.505,17"
31,232,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PIRPIRITUBA,"R$ 135.102,65"
32,475,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PIRPIRITUBA,"R$ 243.084,38"
33,545,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PIRPIRITUBA,"R$ 293.391,10"
34,266,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PIRPIRITUBA,"R$ 17.769,59"
35,267,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PIRPIRITUBA,"R$ 17.769,59"
36,268,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PIRPIRITUBA,"R$ 17.769,59"
37,711,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PIRPIRITUBA,"R$ 80.451,73"
38,215,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PIRPIRITUBA,"R$ 17.757,90"
39,216,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PIRPIRITUBA,"R$ 17.757,90"
40,499,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PIRPIRITUBA,"R$ 35.539,18"
41,514,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PIRPIRITUBA,"R$ 37.163,56"
42,270,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PIRPIRITUBA,"R$ 17.757,90"
43,271,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PIRPIRITUBA,"R$ 17.757,90"
44,272,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PIRPIRITUBA,"R$ 17.757,90"
45,637,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PIRPIRITUBA,"R$ 45.618,58"
46,29,12KV - IMPLANTACAO E ADEQUACAO DE ESTRUTURAS ESPORTIVAS ESCOLARES,PIRPIRITUBA,"R$ 24.499,59"
47,30,12KV - IMPLANTACAO E ADEQUACAO DE ESTRUTURAS ESPORTIVAS ESCOLARES,PIRPIRITUBA,"R$ 24.499,61"
48,57,12KV - IMPLANTACAO E ADEQUACAO DE ESTRUTURAS ESPORTIVAS ESCOLARES,PIRPIRITUBA,"R$ 36.749,39"
49,33,8790 - APOIO A ALFABETIZACAO E A EDUCACAO DE JOVENS E ADULTOS,PIRPIRITUBA,"R$ 29.484,60"
