,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,786,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),POMBAL,"R$ 39.890,00"
1,787,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),POMBAL,"R$ 39.890,00"
2,788,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),POMBAL,"R$ 39.890,00"
3,789,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),POMBAL,"R$ 39.890,00"
4,576,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),POMBAL,"R$ 39.890,00"
5,577,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),POMBAL,"R$ 39.890,00"
6,578,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),POMBAL,"R$ 39.890,00"
7,578,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),POMBAL,"R$ 39.890,00"
8,579,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),POMBAL,"R$ 39.890,00"
9,580,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),POMBAL,"R$ 39.890,00"
10,2,0509 - APOIO AO DESENVOLVIMENTO DA EDUCACAO BASICA,POMBAL,"R$ 20.255,91"
11,163,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,POMBAL,"R$ 74.941,23"
12,768,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,POMBAL,"R$ 79.360,00"
13,833,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,POMBAL,"R$ 131.910,00"
14,878,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,POMBAL,"R$ 237.801,00"
15,897,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,POMBAL,"R$ 487.000,00"
16,548,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,POMBAL,"R$ 8.622,43"
17,549,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,POMBAL,"R$ 8.622,43"
18,550,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,POMBAL,"R$ 8.622,43"
