,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,485,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),POÇO DANTAS,"R$ 16.364,00"
1,486,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),POÇO DANTAS,"R$ 16.364,00"
2,487,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),POÇO DANTAS,"R$ 16.364,00"
3,488,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),POÇO DANTAS,"R$ 16.364,00"
4,355,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),POÇO DANTAS,"R$ 16.364,00"
5,356,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),POÇO DANTAS,"R$ 16.364,00"
6,357,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),POÇO DANTAS,"R$ 16.364,00"
7,354,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),POÇO DANTAS,"R$ 16.364,00"
8,355,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),POÇO DANTAS,"R$ 16.364,00"
9,356,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),POÇO DANTAS,"R$ 16.364,00"
10,22,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,POÇO DANTAS,"R$ 6.250,00"
11,590,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,POÇO DANTAS,"R$ 27.020,00"
12,600,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,POÇO DANTAS,"R$ 28.000,00"
13,835,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,POÇO DANTAS,"R$ 132.870,00"
14,355,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,POÇO DANTAS,"R$ 5.259,51"
15,356,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,POÇO DANTAS,"R$ 5.259,51"
16,357,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,POÇO DANTAS,"R$ 5.259,51"
17,358,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,POÇO DANTAS,"R$ 5.259,51"
18,256,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,POÇO DANTAS,"R$ 5.259,51"
19,257,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,POÇO DANTAS,"R$ 5.259,51"
20,258,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,POÇO DANTAS,"R$ 5.259,51"
21,257,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,POÇO DANTAS,"R$ 5.259,47"
22,258,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,POÇO DANTAS,"R$ 5.259,51"
23,259,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,POÇO DANTAS,"R$ 5.259,51"
24,326,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,POÇO DANTAS,"R$ 139.981,88"
25,394,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,POÇO DANTAS,"R$ 166.341,85"
26,439,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,POÇO DANTAS,"R$ 184.055,97"
27,539,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,POÇO DANTAS,"R$ 230.187,14"
28,311,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,POÇO DANTAS,"R$ 132.536,44"
29,403,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,POÇO DANTAS,"R$ 164.299,65"
30,451,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,POÇO DANTAS,"R$ 182.673,58"
31,533,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,POÇO DANTAS,"R$ 221.114,11"
32,229,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,POÇO DANTAS,"R$ 133.686,92"
33,301,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,POÇO DANTAS,"R$ 161.978,65"
34,542,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,POÇO DANTAS,"R$ 291.441,27"
35,609,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,POÇO DANTAS,"R$ 351.755,53"
36,314,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,POÇO DANTAS,"R$ 21.304,50"
37,315,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,POÇO DANTAS,"R$ 21.304,50"
38,316,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,POÇO DANTAS,"R$ 21.304,50"
39,732,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,POÇO DANTAS,"R$ 91.135,03"
40,273,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,POÇO DANTAS,"R$ 21.290,49"
41,274,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,POÇO DANTAS,"R$ 21.290,49"
42,560,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,POÇO DANTAS,"R$ 41.401,76"
43,564,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,POÇO DANTAS,"R$ 42.609,00"
44,326,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,POÇO DANTAS,"R$ 21.290,49"
45,327,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,POÇO DANTAS,"R$ 21.290,49"
46,328,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,POÇO DANTAS,"R$ 21.290,49"
47,692,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,POÇO DANTAS,"R$ 54.693,50"
48,62,12KV - IMPLANTACAO E ADEQUACAO DE ESTRUTURAS ESPORTIVAS ESCOLARES,POÇO DANTAS,"R$ 40.799,02"
49,107,20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA,POÇO DANTAS,"R$ 235.659,89"
50,111,20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA,POÇO DANTAS,"R$ 257.286,50"
51,115,20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA,POÇO DANTAS,"R$ 317.640,39"
