,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,553,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),POÇO DE JOSÉ DE MOURA,"R$ 18.766,00"
1,554,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),POÇO DE JOSÉ DE MOURA,"R$ 18.766,00"
2,555,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),POÇO DE JOSÉ DE MOURA,"R$ 18.766,00"
3,556,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),POÇO DE JOSÉ DE MOURA,"R$ 18.766,00"
4,404,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),POÇO DE JOSÉ DE MOURA,"R$ 18.766,00"
5,405,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),POÇO DE JOSÉ DE MOURA,"R$ 18.766,00"
6,406,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),POÇO DE JOSÉ DE MOURA,"R$ 18.766,00"
7,406,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),POÇO DE JOSÉ DE MOURA,"R$ 18.766,00"
8,407,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),POÇO DE JOSÉ DE MOURA,"R$ 18.766,00"
9,408,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),POÇO DE JOSÉ DE MOURA,"R$ 18.766,00"
10,43,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,POÇO DE JOSÉ DE MOURA,"R$ 8.300,00"
11,246,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,POÇO DE JOSÉ DE MOURA,"R$ 5.490,00"
12,247,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,POÇO DE JOSÉ DE MOURA,"R$ 5.490,00"
13,322,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,POÇO DE JOSÉ DE MOURA,"R$ 7.500,00"
14,436,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,POÇO DE JOSÉ DE MOURA,"R$ 12.000,00"
