,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,420,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PUXINANA,"R$ 13.528,00"
1,421,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PUXINANA,"R$ 13.528,00"
2,422,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PUXINANA,"R$ 13.528,00"
3,423,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PUXINANA,"R$ 13.528,00"
4,308,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PUXINANA,"R$ 13.528,00"
5,309,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PUXINANA,"R$ 13.528,00"
6,310,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PUXINANA,"R$ 13.528,00"
7,306,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PUXINANA,"R$ 13.528,00"
8,307,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PUXINANA,"R$ 13.528,00"
9,308,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PUXINANA,"R$ 13.528,00"
10,92,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PUXINANA,"R$ 2.030,00"
11,270,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PUXINANA,"R$ 5.850,00"
12,271,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PUXINANA,"R$ 5.850,00"
13,648,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PUXINANA,"R$ 36.890,00"
14,664,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PUXINANA,"R$ 40.000,00"
15,859,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PUXINANA,"R$ 179.657,00"
16,743,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PUXINANA,"R$ 16.127,31"
17,744,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PUXINANA,"R$ 16.127,31"
18,745,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PUXINANA,"R$ 16.127,31"
19,746,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PUXINANA,"R$ 16.127,31"
20,538,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PUXINANA,"R$ 16.127,31"
21,539,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PUXINANA,"R$ 16.127,31"
22,540,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PUXINANA,"R$ 16.127,31"
23,532,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PUXINANA,"R$ 16.127,31"
24,533,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PUXINANA,"R$ 16.127,31"
25,534,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PUXINANA,"R$ 16.127,31"
26,444,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PUXINANA,"R$ 186.343,84"
27,524,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PUXINANA,"R$ 221.434,17"
28,567,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PUXINANA,"R$ 245.015,27"
29,651,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PUXINANA,"R$ 306.424,98"
30,435,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PUXINANA,"R$ 176.432,44"
31,527,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PUXINANA,"R$ 218.715,59"
32,574,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PUXINANA,"R$ 243.175,01"
33,650,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PUXINANA,"R$ 294.346,98"
34,337,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PUXINANA,"R$ 177.964,00"
35,425,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PUXINANA,"R$ 215.625,91"
36,645,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PUXINANA,"R$ 387.966,46"
37,706,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PUXINANA,"R$ 468.256,77"
38,423,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PUXINANA,"R$ 28.360,54"
39,424,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PUXINANA,"R$ 28.360,54"
40,425,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PUXINANA,"R$ 28.360,54"
41,793,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PUXINANA,"R$ 121.459,39"
