,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,849,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),QUEIMADAS,"R$ 81.096,00"
1,850,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),QUEIMADAS,"R$ 81.096,00"
2,851,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),QUEIMADAS,"R$ 81.096,00"
3,852,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),QUEIMADAS,"R$ 81.096,00"
4,621,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),QUEIMADAS,"R$ 81.096,00"
5,622,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),QUEIMADAS,"R$ 81.096,00"
6,623,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),QUEIMADAS,"R$ 81.096,00"
7,626,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),QUEIMADAS,"R$ 81.096,00"
8,627,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),QUEIMADAS,"R$ 81.096,00"
9,628,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),QUEIMADAS,"R$ 81.096,00"
10,8,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,QUEIMADAS,"R$ 4.250,00"
11,344,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,QUEIMADAS,"R$ 8.370,00"
12,345,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,QUEIMADAS,"R$ 8.370,00"
13,792,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,QUEIMADAS,"R$ 90.500,00"
14,845,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,QUEIMADAS,"R$ 152.800,00"
15,902,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,QUEIMADAS,"R$ 608.106,00"
16,787,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,QUEIMADAS,"R$ 28.271,62"
