,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,34,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),QUIXABÁ,"R$ 3.866,00"
1,35,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),QUIXABÁ,"R$ 3.866,00"
2,36,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),QUIXABÁ,"R$ 3.866,00"
3,37,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),QUIXABÁ,"R$ 3.866,00"
4,20,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),QUIXABÁ,"R$ 3.866,00"
5,21,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),QUIXABÁ,"R$ 3.866,00"
6,22,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),QUIXABÁ,"R$ 3.866,00"
7,20,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),QUIXABÁ,"R$ 3.866,00"
8,21,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),QUIXABÁ,"R$ 3.866,00"
9,22,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),QUIXABÁ,"R$ 3.866,00"
10,65,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,QUIXABÁ,"R$ 1.470,00"
11,66,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,QUIXABÁ,"R$ 1.470,00"
12,168,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,QUIXABÁ,"R$ 3.480,00"
13,170,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,QUIXABÁ,"R$ 3.480,00"
14,126,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,QUIXABÁ,"R$ 2.534,09"
15,127,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,QUIXABÁ,"R$ 2.534,09"
16,128,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,QUIXABÁ,"R$ 2.534,09"
17,129,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,QUIXABÁ,"R$ 2.534,09"
18,91,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,QUIXABÁ,"R$ 2.534,09"
19,92,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,QUIXABÁ,"R$ 2.534,09"
20,93,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,QUIXABÁ,"R$ 2.534,09"
21,87,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,QUIXABÁ,"R$ 2.534,03"
22,88,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,QUIXABÁ,"R$ 2.534,09"
23,89,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,QUIXABÁ,"R$ 2.534,09"
24,14,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,QUIXABÁ,"R$ 47.596,42"
25,30,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,QUIXABÁ,"R$ 56.559,26"
26,43,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,QUIXABÁ,"R$ 62.582,11"
27,100,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,QUIXABÁ,"R$ 78.267,86"
28,13,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,QUIXABÁ,"R$ 45.064,82"
29,33,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,QUIXABÁ,"R$ 55.864,90"
30,48,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,QUIXABÁ,"R$ 62.112,38"
31,95,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,QUIXABÁ,"R$ 75.182,85"
32,11,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,QUIXABÁ,"R$ 45.456,03"
33,26,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,QUIXABÁ,"R$ 55.075,72"
34,138,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,QUIXABÁ,"R$ 99.095,37"
35,192,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,QUIXABÁ,"R$ 119.603,32"
36,21,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,QUIXABÁ,"R$ 7.243,92"
37,22,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,QUIXABÁ,"R$ 7.243,92"
38,23,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,QUIXABÁ,"R$ 7.243,92"
39,454,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,QUIXABÁ,"R$ 30.500,61"
40,17,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,QUIXABÁ,"R$ 7.239,16"
41,18,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,QUIXABÁ,"R$ 7.239,16"
42,131,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,QUIXABÁ,"R$ 13.788,64"
43,142,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,QUIXABÁ,"R$ 14.487,84"
44,22,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,QUIXABÁ,"R$ 7.239,16"
45,23,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,QUIXABÁ,"R$ 7.239,16"
46,24,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,QUIXABÁ,"R$ 7.239,16"
47,286,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,QUIXABÁ,"R$ 18.596,80"
48,3,20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA,QUIXABÁ,"R$ 2.442,00"
49,25,20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA,QUIXABÁ,"R$ 21.690,00"
