,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,708,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),REMÍGIO,"R$ 31.418,00"
1,709,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),REMÍGIO,"R$ 31.418,00"
2,710,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),REMÍGIO,"R$ 31.418,00"
3,711,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),REMÍGIO,"R$ 31.418,00"
4,517,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),REMÍGIO,"R$ 31.418,00"
5,518,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),REMÍGIO,"R$ 31.418,00"
6,519,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),REMÍGIO,"R$ 31.418,00"
7,520,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),REMÍGIO,"R$ 31.418,00"
8,521,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),REMÍGIO,"R$ 31.418,00"
9,522,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),REMÍGIO,"R$ 31.418,00"
10,13,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,REMÍGIO,"R$ 6.250,00"
11,215,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,REMÍGIO,"R$ 4.560,00"
12,216,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,REMÍGIO,"R$ 4.560,00"
13,431,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,REMÍGIO,"R$ 12.000,00"
14,580,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,REMÍGIO,"R$ 26.000,00"
15,722,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,REMÍGIO,"R$ 57.120,00"
16,830,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,REMÍGIO,"R$ 130.680,00"
17,751,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,REMÍGIO,"R$ 16.747,01"
18,752,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,REMÍGIO,"R$ 16.747,01"
19,753,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,REMÍGIO,"R$ 16.747,01"
20,754,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,REMÍGIO,"R$ 16.747,01"
21,544,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,REMÍGIO,"R$ 16.747,01"
22,545,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,REMÍGIO,"R$ 16.747,01"
