,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,352,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTA CECÍLIA,"R$ 11.636,00"
1,353,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTA CECÍLIA,"R$ 11.636,00"
2,354,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTA CECÍLIA,"R$ 11.636,00"
3,355,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTA CECÍLIA,"R$ 11.636,00"
4,259,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTA CECÍLIA,"R$ 11.636,00"
5,260,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTA CECÍLIA,"R$ 11.636,00"
6,261,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTA CECÍLIA,"R$ 11.636,00"
7,258,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTA CECÍLIA,"R$ 11.636,00"
8,259,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTA CECÍLIA,"R$ 11.636,00"
9,260,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTA CECÍLIA,"R$ 11.636,00"
10,179,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SANTA CECÍLIA,"R$ 3.660,00"
11,181,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SANTA CECÍLIA,"R$ 3.660,00"
12,605,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SANTA CECÍLIA,"R$ 29.040,00"
13,606,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SANTA CECÍLIA,"R$ 29.040,00"
14,623,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SANTA CECÍLIA,"R$ 31.100,00"
15,635,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTA CECÍLIA,"R$ 11.593,30"
16,636,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTA CECÍLIA,"R$ 11.593,30"
17,637,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTA CECÍLIA,"R$ 11.593,30"
18,638,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTA CECÍLIA,"R$ 11.593,30"
19,460,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTA CECÍLIA,"R$ 11.593,30"
20,461,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTA CECÍLIA,"R$ 11.593,30"
21,462,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTA CECÍLIA,"R$ 11.593,30"
22,459,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTA CECÍLIA,"R$ 11.593,30"
23,460,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTA CECÍLIA,"R$ 11.593,30"
24,461,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTA CECÍLIA,"R$ 11.593,32"
25,393,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SANTA CECÍLIA,"R$ 166.158,50"
26,471,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SANTA CECÍLIA,"R$ 197.447,74"
27,522,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SANTA CECÍLIA,"R$ 218.476,87"
28,616,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SANTA CECÍLIA,"R$ 273.232,09"
29,385,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SANTA CECÍLIA,"R$ 157.320,75"
30,479,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SANTA CECÍLIA,"R$ 195.023,69"
31,524,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SANTA CECÍLIA,"R$ 216.833,54"
32,608,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SANTA CECÍLIA,"R$ 262.462,43"
33,291,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SANTA CECÍLIA,"R$ 158.686,37"
34,375,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SANTA CECÍLIA,"R$ 192.268,64"
35,606,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SANTA CECÍLIA,"R$ 345.940,73"
36,672,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SANTA CECÍLIA,"R$ 417.533,77"
37,373,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SANTA CECÍLIA,"R$ 25.288,44"
38,374,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SANTA CECÍLIA,"R$ 25.288,44"
39,375,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SANTA CECÍLIA,"R$ 25.288,44"
40,779,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SANTA CECÍLIA,"R$ 112.217,91"
41,352,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SANTA CECÍLIA,"R$ 25.271,81"
42,353,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SANTA CECÍLIA,"R$ 25.271,81"
43,630,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SANTA CECÍLIA,"R$ 50.576,88"
44,640,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SANTA CECÍLIA,"R$ 51.539,54"
45,395,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SANTA CECÍLIA,"R$ 25.271,81"
46,396,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SANTA CECÍLIA,"R$ 25.271,81"
47,397,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SANTA CECÍLIA,"R$ 25.271,81"
48,735,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SANTA CECÍLIA,"R$ 64.921,18"
