,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,509,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTA HELENA,"R$ 17.314,00"
1,510,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTA HELENA,"R$ 17.314,00"
2,511,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTA HELENA,"R$ 17.314,00"
3,512,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTA HELENA,"R$ 17.314,00"
4,372,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTA HELENA,"R$ 17.314,00"
5,373,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTA HELENA,"R$ 17.314,00"
6,374,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTA HELENA,"R$ 17.314,00"
7,372,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTA HELENA,"R$ 17.314,00"
8,373,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTA HELENA,"R$ 17.314,00"
9,374,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTA HELENA,"R$ 17.314,00"
10,139,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SANTA HELENA,"R$ 33.300,00"
11,417,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SANTA HELENA,"R$ 11.600,00"
12,612,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SANTA HELENA,"R$ 29.610,00"
13,801,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SANTA HELENA,"R$ 95.393,00"
14,479,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTA HELENA,"R$ 7.021,75"
15,480,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTA HELENA,"R$ 7.021,75"
16,481,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTA HELENA,"R$ 7.021,75"
17,482,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTA HELENA,"R$ 7.021,75"
18,350,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTA HELENA,"R$ 7.021,75"
19,351,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTA HELENA,"R$ 7.021,75"
20,352,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTA HELENA,"R$ 7.021,75"
21,352,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTA HELENA,"R$ 7.021,73"
22,353,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTA HELENA,"R$ 7.021,75"
23,354,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTA HELENA,"R$ 7.021,75"
24,294,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SANTA HELENA,"R$ 130.554,12"
25,368,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SANTA HELENA,"R$ 155.138,72"
26,408,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SANTA HELENA,"R$ 171.658,68"
27,514,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SANTA HELENA,"R$ 214.684,03"
28,287,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SANTA HELENA,"R$ 123.610,12"
