,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,870,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTA RITA,"R$ 164.142,00"
1,871,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTA RITA,"R$ 164.142,00"
2,872,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTA RITA,"R$ 164.142,00"
3,873,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTA RITA,"R$ 164.142,00"
4,637,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTA RITA,"R$ 164.142,00"
5,638,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTA RITA,"R$ 164.142,00"
6,639,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTA RITA,"R$ 164.142,00"
7,642,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTA RITA,"R$ 164.142,00"
8,643,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTA RITA,"R$ 164.142,00"
9,644,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTA RITA,"R$ 164.142,00"
10,178,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SANTA RITA,"R$ 159.750,00"
11,182,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SANTA RITA,"R$ 174.274,72"
12,55,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SANTA RITA,"R$ 1.350,00"
13,56,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SANTA RITA,"R$ 1.350,00"
14,787,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SANTA RITA,"R$ 87.860,00"
15,811,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SANTA RITA,"R$ 104.800,00"
16,881,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SANTA RITA,"R$ 255.180,00"
17,907,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SANTA RITA,"R$ 1.387.316,00"
18,596,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTA RITA,"R$ 10.512,88"
19,727,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTA RITA,"R$ 15.050,89"
20,728,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTA RITA,"R$ 15.050,89"
21,729,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTA RITA,"R$ 15.050,89"
22,527,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTA RITA,"R$ 15.050,89"
23,528,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTA RITA,"R$ 15.050,89"
24,529,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTA RITA,"R$ 15.050,89"
25,524,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTA RITA,"R$ 15.050,74"
26,525,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTA RITA,"R$ 15.050,89"
27,526,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTA RITA,"R$ 15.050,89"
