,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,127,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTA TERESINHA,"R$ 6.338,00"
1,128,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTA TERESINHA,"R$ 6.338,00"
2,129,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTA TERESINHA,"R$ 6.338,00"
3,130,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTA TERESINHA,"R$ 6.338,00"
4,90,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTA TERESINHA,"R$ 6.338,00"
5,91,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTA TERESINHA,"R$ 6.338,00"
6,92,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTA TERESINHA,"R$ 6.338,00"
7,92,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTA TERESINHA,"R$ 6.338,00"
8,93,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTA TERESINHA,"R$ 6.338,00"
9,94,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTA TERESINHA,"R$ 6.338,00"
10,221,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SANTA TERESINHA,"R$ 4.830,00"
11,223,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SANTA TERESINHA,"R$ 4.830,00"
12,357,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SANTA TERESINHA,"R$ 9.060,00"
13,434,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SANTA TERESINHA,"R$ 12.000,00"
14,545,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SANTA TERESINHA,"R$ 20.481,00"
15,271,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTA TERESINHA,"R$ 4.214,50"
16,272,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTA TERESINHA,"R$ 4.214,50"
17,273,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTA TERESINHA,"R$ 4.214,50"
18,274,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTA TERESINHA,"R$ 4.214,50"
19,197,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTA TERESINHA,"R$ 4.214,50"
20,198,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTA TERESINHA,"R$ 4.214,50"
21,199,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTA TERESINHA,"R$ 4.214,50"
22,197,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTA TERESINHA,"R$ 4.214,40"
23,198,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTA TERESINHA,"R$ 4.214,50"
24,199,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTA TERESINHA,"R$ 4.214,50"
25,72,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SANTA TERESINHA,"R$ 71.570,98"
26,124,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SANTA TERESINHA,"R$ 85.048,49"
