,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,51,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTO ANDRÉ,"R$ 4.626,00"
1,52,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTO ANDRÉ,"R$ 4.626,00"
2,53,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTO ANDRÉ,"R$ 4.626,00"
3,54,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTO ANDRÉ,"R$ 4.626,00"
4,32,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTO ANDRÉ,"R$ 4.626,00"
5,33,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTO ANDRÉ,"R$ 4.626,00"
6,34,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTO ANDRÉ,"R$ 4.626,00"
7,32,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTO ANDRÉ,"R$ 4.626,00"
8,33,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTO ANDRÉ,"R$ 4.626,00"
9,34,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SANTO ANDRÉ,"R$ 4.626,00"
10,37,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SANTO ANDRÉ,"R$ 1.020,00"
11,89,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SANTO ANDRÉ,"R$ 1.980,00"
12,239,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SANTO ANDRÉ,"R$ 5.250,00"
13,532,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SANTO ANDRÉ,"R$ 19.938,00"
14,260,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTO ANDRÉ,"R$ 4.021,04"
15,261,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTO ANDRÉ,"R$ 4.021,04"
16,262,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTO ANDRÉ,"R$ 4.021,04"
17,263,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTO ANDRÉ,"R$ 4.021,04"
18,191,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTO ANDRÉ,"R$ 4.021,04"
19,192,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTO ANDRÉ,"R$ 4.021,04"
20,193,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTO ANDRÉ,"R$ 4.021,04"
21,191,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTO ANDRÉ,"R$ 4.021,02"
22,192,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTO ANDRÉ,"R$ 4.021,04"
23,193,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SANTO ANDRÉ,"R$ 4.021,04"
24,31,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SANTO ANDRÉ,"R$ 56.862,14"
25,61,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SANTO ANDRÉ,"R$ 67.569,83"
26,84,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SANTO ANDRÉ,"R$ 74.767,13"
