,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,147,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SAO DOMINGOS,"R$ 6.738,00"
1,148,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SAO DOMINGOS,"R$ 6.738,00"
2,149,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SAO DOMINGOS,"R$ 6.738,00"
3,150,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SAO DOMINGOS,"R$ 6.738,00"
4,105,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SAO DOMINGOS,"R$ 6.738,00"
5,106,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SAO DOMINGOS,"R$ 6.738,00"
6,107,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SAO DOMINGOS,"R$ 6.738,00"
7,104,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SAO DOMINGOS,"R$ 6.738,00"
8,105,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SAO DOMINGOS,"R$ 6.738,00"
9,106,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SAO DOMINGOS,"R$ 6.738,00"
10,39,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SAO DOMINGOS,"R$ 8.300,00"
11,66,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SAO DOMINGOS,"R$ 10.509,81"
12,386,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SAO DOMINGOS,"R$ 10.000,00"
13,444,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SAO DOMINGOS,"R$ 12.700,00"
14,663,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SAO DOMINGOS,"R$ 39.999,00"
15,289,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SAO DOMINGOS,"R$ 4.504,99"
16,290,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SAO DOMINGOS,"R$ 4.504,99"
17,291,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SAO DOMINGOS,"R$ 4.504,99"
18,292,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SAO DOMINGOS,"R$ 4.504,99"
19,209,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SAO DOMINGOS,"R$ 4.504,99"
20,210,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SAO DOMINGOS,"R$ 4.504,99"
21,211,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SAO DOMINGOS,"R$ 4.504,99"
22,209,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SAO DOMINGOS,"R$ 4.504,99"
23,210,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SAO DOMINGOS,"R$ 4.504,99"
24,211,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SAO DOMINGOS,"R$ 4.505,01"
25,52,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SAO DOMINGOS,"R$ 65.646,46"
26,97,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SAO DOMINGOS,"R$ 78.008,32"
27,128,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SAO DOMINGOS,"R$ 86.316,46"
28,217,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SAO DOMINGOS,"R$ 107.949,44"
29,49,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SAO DOMINGOS,"R$ 62.154,79"
30,104,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SAO DOMINGOS,"R$ 77.050,59"
31,136,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SAO DOMINGOS,"R$ 85.667,33"
32,208,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SAO DOMINGOS,"R$ 103.694,51"
33,43,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SAO DOMINGOS,"R$ 62.694,33"
34,75,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SAO DOMINGOS,"R$ 75.962,15"
35,235,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SAO DOMINGOS,"R$ 136.675,41"
36,304,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SAO DOMINGOS,"R$ 164.960,63"
37,78,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SAO DOMINGOS,"R$ 9.991,04"
38,79,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SAO DOMINGOS,"R$ 9.991,04"
39,80,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SAO DOMINGOS,"R$ 9.991,04"
40,569,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SAO DOMINGOS,"R$ 44.193,56"
41,57,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SAO DOMINGOS,"R$ 9.984,47"
42,58,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SAO DOMINGOS,"R$ 9.984,47"
43,255,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SAO DOMINGOS,"R$ 19.982,08"
44,263,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SAO DOMINGOS,"R$ 20.278,30"
45,79,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SAO DOMINGOS,"R$ 9.984,47"
46,80,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SAO DOMINGOS,"R$ 9.984,47"
47,81,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SAO DOMINGOS,"R$ 9.984,47"
48,401,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SAO DOMINGOS,"R$ 25.649,28"
49,82,12KV - IMPLANTACAO E ADEQUACAO DE ESTRUTURAS ESPORTIVAS ESCOLARES,SAO DOMINGOS,"R$ 50.999,70"
50,28,8790 - APOIO A ALFABETIZACAO E A EDUCACAO DE JOVENS E ADULTOS,SAO DOMINGOS,"R$ 23.676,92"
51,44,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SAO DOMINGOS,"R$ 5.449,00"
52,92,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SAO DOMINGOS,"R$ 7.252,40"
53,144,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SAO DOMINGOS,"R$ 7.252,40"
54,145,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SAO DOMINGOS,"R$ 7.252,40"
55,146,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SAO DOMINGOS,"R$ 7.252,40"
56,147,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SAO DOMINGOS,"R$ 7.252,40"
57,86,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SAO DOMINGOS,"R$ 5.449,00"
58,130,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SAO DOMINGOS,"R$ 6.570,80"
59,160,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SAO DOMINGOS,"R$ 7.138,80"
60,161,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SAO DOMINGOS,"R$ 7.138,80"
61,186,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SAO DOMINGOS,"R$ 9.590,00"
62,282,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SAO DOMINGOS,"R$ 18.480,00"
63,146,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SAO DOMINGOS,"R$ 2.740,00"
64,443,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SAO DOMINGOS,"R$ 14.096,00"
65,568,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SAO DOMINGOS,"R$ 26.080,00"
66,277,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SAO DOMINGOS,"R$ 4.302,67"
67,278,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SAO DOMINGOS,"R$ 4.302,67"
68,279,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SAO DOMINGOS,"R$ 4.302,67"
69,280,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SAO DOMINGOS,"R$ 4.302,67"
70,283,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SAO DOMINGOS,"R$ 4.302,67"
71,284,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SAO DOMINGOS,"R$ 4.302,67"
72,285,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SAO DOMINGOS,"R$ 4.302,67"
73,286,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SAO DOMINGOS,"R$ 4.302,67"
74,141,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SAO DOMINGOS,"R$ 4.302,67"
75,142,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SAO DOMINGOS,"R$ 4.302,69"
76,52,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SAO DOMINGOS,"R$ 70.242,08"
77,104,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SAO DOMINGOS,"R$ 84.319,61"
78,118,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SAO DOMINGOS,"R$ 87.434,02"
79,210,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SAO DOMINGOS,"R$ 111.829,77"
80,59,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SAO DOMINGOS,"R$ 67.989,68"
81,90,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SAO DOMINGOS,"R$ 77.290,83"
82,136,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SAO DOMINGOS,"R$ 88.319,51"
83,174,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SAO DOMINGOS,"R$ 95.873,04"
84,61,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SAO DOMINGOS,"R$ 64.884,84"
85,93,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SAO DOMINGOS,"R$ 73.309,84"
86,105,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SAO DOMINGOS,"R$ 75.845,54"
87,214,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SAO DOMINGOS,"R$ 100.878,28"
88,52,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SAO DOMINGOS,"R$ 11.859,62"
89,53,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SAO DOMINGOS,"R$ 11.859,62"
90,361,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SAO DOMINGOS,"R$ 44.849,41"
91,80,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SAO DOMINGOS,"R$ 11.859,62"
92,81,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SAO DOMINGOS,"R$ 11.859,62"
93,82,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SAO DOMINGOS,"R$ 11.859,62"
94,362,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SAO DOMINGOS,"R$ 27.352,69"
95,28,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SAO DOMINGOS,"R$ 6.409,68"
96,116,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SAO DOMINGOS,"R$ 11.266,64"
97,309,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SAO DOMINGOS,"R$ 25.498,19"
98,29,12KV - IMPLANTACAO E ADEQUACAO DE ESTRUTURAS ESPORTIVAS ESCOLARES,SAO DOMINGOS,"R$ 25.499,85"
