,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,139,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SAO JOSE DO BREJO DO CRUZ,"R$ 6.442,00"
1,140,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SAO JOSE DO BREJO DO CRUZ,"R$ 6.442,00"
2,141,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SAO JOSE DO BREJO DO CRUZ,"R$ 6.442,00"
3,142,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SAO JOSE DO BREJO DO CRUZ,"R$ 6.442,00"
4,99,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SAO JOSE DO BREJO DO CRUZ,"R$ 6.442,00"
5,100,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SAO JOSE DO BREJO DO CRUZ,"R$ 6.442,00"
6,101,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SAO JOSE DO BREJO DO CRUZ,"R$ 6.442,00"
7,98,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SAO JOSE DO BREJO DO CRUZ,"R$ 6.442,00"
8,99,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SAO JOSE DO BREJO DO CRUZ,"R$ 6.442,00"
9,100,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SAO JOSE DO BREJO DO CRUZ,"R$ 6.442,00"
10,103,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SAO JOSE DO BREJO DO CRUZ,"R$ 2.340,00"
11,105,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SAO JOSE DO BREJO DO CRUZ,"R$ 2.340,00"
12,342,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SAO JOSE DO BREJO DO CRUZ,"R$ 8.300,00"
13,376,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SAO JOSE DO BREJO DO CRUZ,"R$ 10.000,00"
14,588,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SAO JOSE DO BREJO DO CRUZ,"R$ 26.930,00"
15,118,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SAO JOSE DO BREJO DO CRUZ,"R$ 2.464,94"
16,119,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SAO JOSE DO BREJO DO CRUZ,"R$ 2.464,94"
17,120,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SAO JOSE DO BREJO DO CRUZ,"R$ 2.464,94"
18,121,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SAO JOSE DO BREJO DO CRUZ,"R$ 2.464,94"
19,85,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SAO JOSE DO BREJO DO CRUZ,"R$ 2.464,94"
20,86,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SAO JOSE DO BREJO DO CRUZ,"R$ 2.464,94"
21,87,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SAO JOSE DO BREJO DO CRUZ,"R$ 2.464,94"
22,81,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SAO JOSE DO BREJO DO CRUZ,"R$ 2.464,94"
23,82,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SAO JOSE DO BREJO DO CRUZ,"R$ 2.464,94"
24,83,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SAO JOSE DO BREJO DO CRUZ,"R$ 2.464,94"
25,39,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SAO JOSE DO BREJO DO CRUZ,"R$ 61.804,83"
26,78,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SAO JOSE DO BREJO DO CRUZ,"R$ 73.443,25"
27,108,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SAO JOSE DO BREJO DO CRUZ,"R$ 81.263,06"
28,189,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SAO JOSE DO BREJO DO CRUZ,"R$ 101.632,22"
