,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,41,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SAO SEBASTIAO DE LAGOA DE ROCA,"R$ 5.396,80"
1,194,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SAO SEBASTIAO DE LAGOA DE ROCA,"R$ 12.318,20"
2,408,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SAO SEBASTIAO DE LAGOA DE ROCA,"R$ 15.349,40"
3,409,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SAO SEBASTIAO DE LAGOA DE ROCA,"R$ 15.349,40"
4,410,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SAO SEBASTIAO DE LAGOA DE ROCA,"R$ 15.349,40"
5,411,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SAO SEBASTIAO DE LAGOA DE ROCA,"R$ 15.362,20"
6,433,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SAO SEBASTIAO DE LAGOA DE ROCA,"R$ 15.349,40"
7,434,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SAO SEBASTIAO DE LAGOA DE ROCA,"R$ 15.349,40"
8,435,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SAO SEBASTIAO DE LAGOA DE ROCA,"R$ 15.349,40"
9,436,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SAO SEBASTIAO DE LAGOA DE ROCA,"R$ 15.349,40"
10,229,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SAO SEBASTIAO DE LAGOA DE ROCA,"R$ 4.340,00"
11,230,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SAO SEBASTIAO DE LAGOA DE ROCA,"R$ 4.340,00"
12,417,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SAO SEBASTIAO DE LAGOA DE ROCA,"R$ 11.780,00"
13,523,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SAO SEBASTIAO DE LAGOA DE ROCA,"R$ 21.600,00"
14,644,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SAO SEBASTIAO DE LAGOA DE ROCA,"R$ 38.000,00"
15,503,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SAO SEBASTIAO DE LAGOA DE ROCA,"R$ 8.387,64"
16,504,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SAO SEBASTIAO DE LAGOA DE ROCA,"R$ 8.387,64"
17,505,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SAO SEBASTIAO DE LAGOA DE ROCA,"R$ 8.387,64"
18,506,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SAO SEBASTIAO DE LAGOA DE ROCA,"R$ 8.387,64"
19,512,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SAO SEBASTIAO DE LAGOA DE ROCA,"R$ 8.387,64"
20,513,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SAO SEBASTIAO DE LAGOA DE ROCA,"R$ 8.387,64"
21,441,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SAO SEBASTIAO DE LAGOA DE ROCA,"R$ 193.639,88"
22,522,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SAO SEBASTIAO DE LAGOA DE ROCA,"R$ 232.448,07"
23,541,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SAO SEBASTIAO DE LAGOA DE ROCA,"R$ 241.035,98"
