,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,801,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SAPE,"R$ 48.775,00"
1,834,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SAPE,"R$ 66.078,00"
2,835,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SAPE,"R$ 66.078,00"
3,836,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SAPE,"R$ 66.078,00"
4,611,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SAPE,"R$ 66.078,00"
5,612,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SAPE,"R$ 66.078,00"
6,624,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SAPE,"R$ 83.381,00"
7,614,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SAPE,"R$ 66.078,00"
8,615,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SAPE,"R$ 66.078,00"
9,616,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SAPE,"R$ 66.078,00"
10,124,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SAPE,"R$ 26.750,00"
11,145,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SAPE,"R$ 36.688,36"
12,117,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SAPE,"R$ 2.580,00"
13,118,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SAPE,"R$ 2.580,00"
14,331,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SAPE,"R$ 7.580,00"
15,697,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SAPE,"R$ 47.500,00"
16,823,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SAPE,"R$ 120.750,00"
17,889,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SAPE,"R$ 329.456,00"
18,771,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SAPE,"R$ 20.851,36"
19,772,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SAPE,"R$ 20.851,36"
20,773,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SAPE,"R$ 20.851,36"
21,774,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SAPE,"R$ 20.851,36"
22,560,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SAPE,"R$ 20.851,36"
23,561,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SAPE,"R$ 20.851,36"
24,562,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SAPE,"R$ 20.851,36"
25,556,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SAPE,"R$ 20.851,36"
26,557,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SAPE,"R$ 20.851,36"
27,558,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SAPE,"R$ 20.851,38"
28,834,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SAPE,"R$ 676.235,20"
29,848,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SAPE,"R$ 803.576,78"
30,857,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SAPE,"R$ 889.144,94"
31,869,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SAPE,"R$ 1.112.005,43"
32,831,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SAPE,"R$ 640.267,08"
33,849,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SAPE,"R$ 793.711,25"
34,858,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SAPE,"R$ 882.473,47"
35,869,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SAPE,"R$ 1.068.174,87"
36,777,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SAPE,"R$ 645.824,98"
37,816,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SAPE,"R$ 782.498,82"
38,863,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SAPE,"R$ 1.407.916,57"
39,873,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SAPE,"R$ 1.699.287,28"
