,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,489,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SERIDÓ,"R$ 16.444,00"
1,490,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SERIDÓ,"R$ 16.444,00"
2,491,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SERIDÓ,"R$ 16.444,00"
3,492,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SERIDÓ,"R$ 16.444,00"
4,358,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SERIDÓ,"R$ 16.444,00"
5,359,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SERIDÓ,"R$ 16.444,00"
6,357,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SERIDÓ,"R$ 16.444,00"
7,358,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SERIDÓ,"R$ 16.444,00"
8,359,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SERIDÓ,"R$ 16.444,00"
9,97,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SERIDÓ,"R$ 17.050,00"
10,256,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SERIDÓ,"R$ 5.740,00"
11,259,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SERIDÓ,"R$ 5.740,00"
12,291,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SERIDÓ,"R$ 6.500,00"
13,628,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SERIDÓ,"R$ 31.840,00"
14,828,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SERIDÓ,"R$ 127.619,00"
15,581,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SERIDÓ,"R$ 10.156,23"
16,582,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SERIDÓ,"R$ 10.156,23"
17,583,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SERIDÓ,"R$ 10.156,23"
18,584,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SERIDÓ,"R$ 10.156,23"
19,424,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SERIDÓ,"R$ 10.156,23"
20,422,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SERIDÓ,"R$ 175.800,75"
21,502,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SERIDÓ,"R$ 208.905,74"
22,540,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SERIDÓ,"R$ 231.156,88"
23,633,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SERIDÓ,"R$ 289.087,87"
24,412,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SERIDÓ,"R$ 166.450,13"
25,508,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SERIDÓ,"R$ 206.340,98"
26,548,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SERIDÓ,"R$ 229.416,46"
