,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,322,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SERRA BRANCA,"R$ 10.674,00"
1,323,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SERRA BRANCA,"R$ 10.674,00"
2,324,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SERRA BRANCA,"R$ 10.674,00"
3,325,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SERRA BRANCA,"R$ 10.674,00"
4,238,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SERRA BRANCA,"R$ 10.674,00"
5,239,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SERRA BRANCA,"R$ 10.674,00"
6,240,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SERRA BRANCA,"R$ 10.674,00"
7,237,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SERRA BRANCA,"R$ 10.674,00"
8,238,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SERRA BRANCA,"R$ 10.674,00"
9,239,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SERRA BRANCA,"R$ 10.674,00"
10,7,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SERRA BRANCA,"R$ 4.250,00"
11,164,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SERRA BRANCA,"R$ 3.430,00"
12,165,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SERRA BRANCA,"R$ 3.430,00"
13,293,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SERRA BRANCA,"R$ 6.500,00"
14,428,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SERRA BRANCA,"R$ 12.000,00"
15,585,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SERRA BRANCA,"R$ 26.570,00"
16,870,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SERRA BRANCA,"R$ 201.446,00"
17,512,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SERRA BRANCA,"R$ 7.655,17"
18,513,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SERRA BRANCA,"R$ 7.655,17"
19,514,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SERRA BRANCA,"R$ 7.655,17"
20,515,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SERRA BRANCA,"R$ 7.655,17"
21,374,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SERRA BRANCA,"R$ 7.655,17"
22,375,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SERRA BRANCA,"R$ 7.655,17"
23,376,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SERRA BRANCA,"R$ 7.655,17"
24,377,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SERRA BRANCA,"R$ 7.655,17"
25,378,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SERRA BRANCA,"R$ 7.655,17"
26,379,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SERRA BRANCA,"R$ 7.655,19"
27,336,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SERRA BRANCA,"R$ 144.619,54"
28,409,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SERRA BRANCA,"R$ 171.852,76"
29,457,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SERRA BRANCA,"R$ 190.159,04"
30,553,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SERRA BRANCA,"R$ 237.813,26"
31,327,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SERRA BRANCA,"R$ 136.927,39"
32,423,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SERRA BRANCA,"R$ 169.742,92"
33,465,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SERRA BRANCA,"R$ 188.725,60"
34,545,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SERRA BRANCA,"R$ 228.439,62"
35,240,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SERRA BRANCA,"R$ 138.116,00"
36,313,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SERRA BRANCA,"R$ 167.345,03"
37,556,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SERRA BRANCA,"R$ 301.096,74"
38,622,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SERRA BRANCA,"R$ 363.409,23"
39,321,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SERRA BRANCA,"R$ 22.010,32"
40,322,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SERRA BRANCA,"R$ 22.010,32"
41,323,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SERRA BRANCA,"R$ 22.010,32"
42,761,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SERRA BRANCA,"R$ 102.851,79"
43,285,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SERRA BRANCA,"R$ 21.995,85"
44,286,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SERRA BRANCA,"R$ 21.995,85"
45,576,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SERRA BRANCA,"R$ 44.020,64"
46,615,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SERRA BRANCA,"R$ 47.930,03"
47,334,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SERRA BRANCA,"R$ 21.995,85"
