,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,242,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SERRA DA RAIZ,"R$ 9.128,00"
1,243,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SERRA DA RAIZ,"R$ 9.128,00"
2,244,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SERRA DA RAIZ,"R$ 9.128,00"
3,245,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SERRA DA RAIZ,"R$ 9.128,00"
4,178,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SERRA DA RAIZ,"R$ 9.128,00"
5,179,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SERRA DA RAIZ,"R$ 9.128,00"
6,180,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SERRA DA RAIZ,"R$ 9.128,00"
7,176,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SERRA DA RAIZ,"R$ 9.128,00"
8,177,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SERRA DA RAIZ,"R$ 9.128,00"
9,178,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SERRA DA RAIZ,"R$ 9.128,00"
10,18,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SERRA DA RAIZ,"R$ 6.250,00"
11,229,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SERRA DA RAIZ,"R$ 5.070,00"
12,230,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SERRA DA RAIZ,"R$ 5.070,00"
13,401,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SERRA DA RAIZ,"R$ 10.640,00"
14,640,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SERRA DA RAIZ,"R$ 33.688,00"
15,76,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SERRA DA RAIZ,"R$ 72.876,95"
