,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,143,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SERRA REDONDA,"R$ 6.602,00"
1,144,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SERRA REDONDA,"R$ 6.602,00"
2,145,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SERRA REDONDA,"R$ 6.602,00"
3,146,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SERRA REDONDA,"R$ 6.602,00"
4,102,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SERRA REDONDA,"R$ 6.602,00"
5,103,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SERRA REDONDA,"R$ 6.602,00"
6,104,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SERRA REDONDA,"R$ 6.602,00"
7,101,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SERRA REDONDA,"R$ 6.602,00"
8,102,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SERRA REDONDA,"R$ 6.602,00"
9,103,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SERRA REDONDA,"R$ 6.602,00"
10,361,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SERRA REDONDA,"R$ 9.260,00"
11,335,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SERRA REDONDA,"R$ 5.035,68"
12,336,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SERRA REDONDA,"R$ 5.035,68"
13,337,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SERRA REDONDA,"R$ 5.035,68"
14,338,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SERRA REDONDA,"R$ 5.035,68"
15,241,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SERRA REDONDA,"R$ 5.035,68"
