,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,826,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SOUSA,"R$ 64.808,00"
1,827,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SOUSA,"R$ 64.808,00"
2,828,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SOUSA,"R$ 64.808,00"
3,829,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SOUSA,"R$ 64.808,00"
4,606,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SOUSA,"R$ 64.808,00"
5,607,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SOUSA,"R$ 64.808,00"
6,608,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SOUSA,"R$ 64.808,00"
7,609,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SOUSA,"R$ 64.808,00"
8,610,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SOUSA,"R$ 64.808,00"
9,161,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SOUSA,"R$ 73.750,00"
10,171,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SOUSA,"R$ 86.588,43"
11,335,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SOUSA,"R$ 7.860,00"
12,336,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SOUSA,"R$ 7.860,00"
13,492,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SOUSA,"R$ 16.240,00"
14,745,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SOUSA,"R$ 65.000,00"
15,838,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SOUSA,"R$ 138.400,00"
16,901,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SOUSA,"R$ 575.564,00"
17,601,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SOUSA,"R$ 10.653,68"
18,602,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SOUSA,"R$ 10.653,68"
19,603,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SOUSA,"R$ 10.653,68"
20,604,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SOUSA,"R$ 10.653,68"
21,437,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SOUSA,"R$ 10.653,68"
22,808,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SOUSA,"R$ 561.004,75"
23,833,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SOUSA,"R$ 666.647,35"
24,842,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SOUSA,"R$ 737.630,21"
25,859,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SOUSA,"R$ 922.519,82"
26,807,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SOUSA,"R$ 531.165,63"
27,835,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SOUSA,"R$ 658.462,91"
28,842,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SOUSA,"R$ 732.100,04"
29,859,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SOUSA,"R$ 886.157,98"
30,737,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SOUSA,"R$ 535.776,45"
31,780,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SOUSA,"R$ 649.161,10"
32,851,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SOUSA,"R$ 1.168.007,72"
33,864,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SOUSA,"R$ 1.409.728,84"
34,722,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SOUSA,"R$ 85.381,95"
35,723,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SOUSA,"R$ 85.381,95"
36,724,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SOUSA,"R$ 85.381,95"
37,870,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SOUSA,"R$ 348.960,88"
38,774,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SOUSA,"R$ 85.325,80"
39,775,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SOUSA,"R$ 85.325,80"
40,852,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SOUSA,"R$ 156.273,08"
41,855,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SOUSA,"R$ 170.763,90"
42,781,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SOUSA,"R$ 85.325,80"
43,782,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SOUSA,"R$ 85.325,80"
44,783,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SOUSA,"R$ 85.325,80"
45,868,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SOUSA,"R$ 219.194,89"
46,22,12KU - APOIO A IMPLANTACAO DE ESCOLAS PARA EDUCACAO INFANTIL,SOUSA,"R$ 209.781,78"
