,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,814,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO BENTO,"R$ 57.460,00"
1,815,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO BENTO,"R$ 57.460,00"
2,816,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO BENTO,"R$ 57.460,00"
3,817,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO BENTO,"R$ 57.460,00"
4,597,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO BENTO,"R$ 57.460,00"
5,598,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO BENTO,"R$ 57.460,00"
6,599,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO BENTO,"R$ 57.460,00"
7,599,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO BENTO,"R$ 57.460,00"
8,600,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO BENTO,"R$ 57.460,00"
9,601,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO BENTO,"R$ 57.460,00"
10,82,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SÃO BENTO,"R$ 15.000,00"
11,176,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SÃO BENTO,"R$ 118.004,34"
12,162,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SÃO BENTO,"R$ 3.420,00"
13,163,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SÃO BENTO,"R$ 3.420,00"
14,581,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SÃO BENTO,"R$ 26.000,00"
15,639,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SÃO BENTO,"R$ 33.500,00"
16,763,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SÃO BENTO,"R$ 75.810,00"
17,877,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SÃO BENTO,"R$ 232.464,00"
18,703,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SÃO BENTO,"R$ 14.489,37"
19,704,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SÃO BENTO,"R$ 14.489,37"
20,705,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SÃO BENTO,"R$ 14.489,37"
21,706,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SÃO BENTO,"R$ 14.489,37"
22,506,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SÃO BENTO,"R$ 14.489,37"
23,507,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SÃO BENTO,"R$ 14.489,37"
24,508,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SÃO BENTO,"R$ 14.489,37"
25,503,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SÃO BENTO,"R$ 14.489,37"
26,504,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SÃO BENTO,"R$ 14.489,37"
27,505,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SÃO BENTO,"R$ 14.489,37"
28,812,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO BENTO,"R$ 577.477,17"
29,836,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO BENTO,"R$ 686.221,64"
30,845,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO BENTO,"R$ 759.305,10"
31,860,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO BENTO,"R$ 949.607,10"
32,810,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO BENTO,"R$ 546.761,87"
33,836,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO BENTO,"R$ 677.796,89"
34,845,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO BENTO,"R$ 753.596,19"
35,860,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO BENTO,"R$ 912.177,59"
36,744,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO BENTO,"R$ 551.508,09"
37,788,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO BENTO,"R$ 668.221,96"
38,853,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO BENTO,"R$ 1.202.303,11"
39,865,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO BENTO,"R$ 1.451.121,72"
40,727,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO BENTO,"R$ 87.888,96"
41,728,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO BENTO,"R$ 87.888,96"
42,729,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO BENTO,"R$ 87.888,96"
43,872,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO BENTO,"R$ 386.119,22"
44,780,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO BENTO,"R$ 87.831,16"
45,781,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO BENTO,"R$ 87.831,16"
46,859,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO BENTO,"R$ 175.777,92"
47,861,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO BENTO,"R$ 176.817,48"
48,785,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO BENTO,"R$ 87.831,16"
49,786,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO BENTO,"R$ 87.831,16"
50,787,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO BENTO,"R$ 87.831,16"
51,869,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO BENTO,"R$ 225.630,95"
52,65,12KV - IMPLANTACAO E ADEQUACAO DE ESTRUTURAS ESPORTIVAS ESCOLARES,SÃO BENTO,"R$ 46.250,00"
53,71,20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA,SÃO BENTO,"R$ 94.218,94"
54,77,20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA,SÃO BENTO,"R$ 102.061,06"
55,117,8790 - APOIO A ALFABETIZACAO E A EDUCACAO DE JOVENS E ADULTOS,SÃO BENTO,"R$ 229.819,01"
