,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,408,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO JOSÉ DA LAGOA TAPADA,"R$ 13.088,00"
1,409,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO JOSÉ DA LAGOA TAPADA,"R$ 13.088,00"
2,410,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO JOSÉ DA LAGOA TAPADA,"R$ 13.088,00"
3,411,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO JOSÉ DA LAGOA TAPADA,"R$ 13.088,00"
4,299,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO JOSÉ DA LAGOA TAPADA,"R$ 13.088,00"
5,300,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO JOSÉ DA LAGOA TAPADA,"R$ 13.088,00"
6,301,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO JOSÉ DA LAGOA TAPADA,"R$ 13.088,00"
7,297,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO JOSÉ DA LAGOA TAPADA,"R$ 13.088,00"
8,298,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO JOSÉ DA LAGOA TAPADA,"R$ 13.088,00"
9,299,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO JOSÉ DA LAGOA TAPADA,"R$ 13.088,00"
10,67,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SÃO JOSÉ DA LAGOA TAPADA,"R$ 11.141,94"
11,138,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SÃO JOSÉ DA LAGOA TAPADA,"R$ 2.910,00"
12,139,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SÃO JOSÉ DA LAGOA TAPADA,"R$ 2.910,00"
13,173,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SÃO JOSÉ DA LAGOA TAPADA,"R$ 3.540,00"
14,498,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SÃO JOSÉ DA LAGOA TAPADA,"R$ 17.000,00"
15,577,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SÃO JOSÉ DA LAGOA TAPADA,"R$ 25.326,00"
16,544,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SÃO JOSÉ DA LAGOA TAPADA,"R$ 8.567,15"
17,545,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SÃO JOSÉ DA LAGOA TAPADA,"R$ 8.567,15"
18,546,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SÃO JOSÉ DA LAGOA TAPADA,"R$ 8.567,15"
19,547,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SÃO JOSÉ DA LAGOA TAPADA,"R$ 8.567,15"
20,398,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SÃO JOSÉ DA LAGOA TAPADA,"R$ 8.567,15"
21,399,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SÃO JOSÉ DA LAGOA TAPADA,"R$ 8.567,15"
22,400,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SÃO JOSÉ DA LAGOA TAPADA,"R$ 8.567,15"
23,401,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SÃO JOSÉ DA LAGOA TAPADA,"R$ 8.567,15"
24,402,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SÃO JOSÉ DA LAGOA TAPADA,"R$ 8.567,15"
25,403,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SÃO JOSÉ DA LAGOA TAPADA,"R$ 8.567,25"
26,281,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO JOSÉ DA LAGOA TAPADA,"R$ 125.711,56"
27,348,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO JOSÉ DA LAGOA TAPADA,"R$ 149.384,25"
28,390,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO JOSÉ DA LAGOA TAPADA,"R$ 165.294,39"
29,498,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO JOSÉ DA LAGOA TAPADA,"R$ 206.720,87"
30,266,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO JOSÉ DA LAGOA TAPADA,"R$ 119.025,10"
