,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,139,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO JOSÉ DO BREJO DO CRUZ,"R$ 6.442,00"
1,140,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO JOSÉ DO BREJO DO CRUZ,"R$ 6.442,00"
2,141,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO JOSÉ DO BREJO DO CRUZ,"R$ 6.442,00"
3,142,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO JOSÉ DO BREJO DO CRUZ,"R$ 6.442,00"
4,99,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO JOSÉ DO BREJO DO CRUZ,"R$ 6.442,00"
5,100,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO JOSÉ DO BREJO DO CRUZ,"R$ 6.442,00"
6,101,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO JOSÉ DO BREJO DO CRUZ,"R$ 6.442,00"
7,98,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO JOSÉ DO BREJO DO CRUZ,"R$ 6.442,00"
8,99,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO JOSÉ DO BREJO DO CRUZ,"R$ 6.442,00"
9,100,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO JOSÉ DO BREJO DO CRUZ,"R$ 6.442,00"
10,103,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SÃO JOSÉ DO BREJO DO CRUZ,"R$ 2.340,00"
11,105,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SÃO JOSÉ DO BREJO DO CRUZ,"R$ 2.340,00"
12,342,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SÃO JOSÉ DO BREJO DO CRUZ,"R$ 8.300,00"
13,376,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SÃO JOSÉ DO BREJO DO CRUZ,"R$ 10.000,00"
14,588,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SÃO JOSÉ DO BREJO DO CRUZ,"R$ 26.930,00"
15,118,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SÃO JOSÉ DO BREJO DO CRUZ,"R$ 2.464,94"
16,119,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SÃO JOSÉ DO BREJO DO CRUZ,"R$ 2.464,94"
17,120,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SÃO JOSÉ DO BREJO DO CRUZ,"R$ 2.464,94"
18,121,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SÃO JOSÉ DO BREJO DO CRUZ,"R$ 2.464,94"
19,85,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SÃO JOSÉ DO BREJO DO CRUZ,"R$ 2.464,94"
20,86,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SÃO JOSÉ DO BREJO DO CRUZ,"R$ 2.464,94"
21,87,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SÃO JOSÉ DO BREJO DO CRUZ,"R$ 2.464,94"
