,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,254,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO JOSÉ DO SABUGI,"R$ 9.268,00"
1,255,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO JOSÉ DO SABUGI,"R$ 9.268,00"
2,256,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO JOSÉ DO SABUGI,"R$ 9.268,00"
3,257,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO JOSÉ DO SABUGI,"R$ 9.268,00"
4,187,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO JOSÉ DO SABUGI,"R$ 9.268,00"
5,188,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO JOSÉ DO SABUGI,"R$ 9.268,00"
6,189,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO JOSÉ DO SABUGI,"R$ 9.268,00"
7,185,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO JOSÉ DO SABUGI,"R$ 9.268,00"
8,186,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO JOSÉ DO SABUGI,"R$ 9.268,00"
9,187,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO JOSÉ DO SABUGI,"R$ 9.268,00"
10,143,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SÃO JOSÉ DO SABUGI,"R$ 36.256,80"
11,475,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SÃO JOSÉ DO SABUGI,"R$ 14.140,00"
12,645,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SÃO JOSÉ DO SABUGI,"R$ 35.000,00"
13,669,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SÃO JOSÉ DO SABUGI,"R$ 40.967,00"
14,114,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SÃO JOSÉ DO SABUGI,"R$ 2.463,36"
15,115,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SÃO JOSÉ DO SABUGI,"R$ 2.463,36"
16,116,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SÃO JOSÉ DO SABUGI,"R$ 2.463,36"
17,117,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SÃO JOSÉ DO SABUGI,"R$ 2.463,36"
18,82,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SÃO JOSÉ DO SABUGI,"R$ 2.463,36"
19,83,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SÃO JOSÉ DO SABUGI,"R$ 2.463,36"
20,84,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SÃO JOSÉ DO SABUGI,"R$ 2.463,36"
21,78,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SÃO JOSÉ DO SABUGI,"R$ 2.463,36"
22,79,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SÃO JOSÉ DO SABUGI,"R$ 2.463,36"
23,80,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SÃO JOSÉ DO SABUGI,"R$ 2.463,36"
24,101,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO JOSÉ DO SABUGI,"R$ 79.778,59"
25,160,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO JOSÉ DO SABUGI,"R$ 94.801,64"
26,204,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO JOSÉ DO SABUGI,"R$ 104.897,89"
27,295,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO JOSÉ DO SABUGI,"R$ 131.188,41"
28,97,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO JOSÉ DO SABUGI,"R$ 75.535,23"
29,166,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO JOSÉ DO SABUGI,"R$ 93.637,76"
30,212,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO JOSÉ DO SABUGI,"R$ 104.109,45"
31,291,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO JOSÉ DO SABUGI,"R$ 126.017,49"
32,78,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO JOSÉ DO SABUGI,"R$ 76.190,94"
33,117,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO JOSÉ DO SABUGI,"R$ 92.314,98"
34,311,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO JOSÉ DO SABUGI,"R$ 166.098,38"
35,392,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO JOSÉ DO SABUGI,"R$ 200.472,73"
36,136,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO JOSÉ DO SABUGI,"R$ 12.141,88"
37,137,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO JOSÉ DO SABUGI,"R$ 12.141,88"
38,138,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO JOSÉ DO SABUGI,"R$ 12.141,88"
39,623,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO JOSÉ DO SABUGI,"R$ 52.916,08"
40,99,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO JOSÉ DO SABUGI,"R$ 12.133,89"
41,100,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO JOSÉ DO SABUGI,"R$ 12.133,89"
42,329,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO JOSÉ DO SABUGI,"R$ 24.174,58"
43,334,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO JOSÉ DO SABUGI,"R$ 24.283,76"
44,137,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO JOSÉ DO SABUGI,"R$ 12.133,89"
45,138,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO JOSÉ DO SABUGI,"R$ 12.133,89"
46,139,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO JOSÉ DO SABUGI,"R$ 12.133,89"
47,504,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SÃO JOSÉ DO SABUGI,"R$ 31.170,96"
48,8,12KV - IMPLANTACAO E ADEQUACAO DE ESTRUTURAS ESPORTIVAS ESCOLARES,SÃO JOSÉ DO SABUGI,"R$ 15.291,37"
49,16,20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA,SÃO JOSÉ DO SABUGI,"R$ 18.032,40"
50,75,8790 - APOIO A ALFABETIZACAO E A EDUCACAO DE JOVENS E ADULTOS,SÃO JOSÉ DO SABUGI,"R$ 72.223,78"
