,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,581,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO MAMEDE,"R$ 20.664,00"
1,582,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO MAMEDE,"R$ 20.664,00"
2,583,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO MAMEDE,"R$ 20.664,00"
3,584,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO MAMEDE,"R$ 20.664,00"
4,425,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO MAMEDE,"R$ 20.664,00"
5,426,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO MAMEDE,"R$ 20.664,00"
6,427,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO MAMEDE,"R$ 20.664,00"
7,427,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO MAMEDE,"R$ 20.664,00"
8,428,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO MAMEDE,"R$ 20.664,00"
9,429,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SÃO MAMEDE,"R$ 20.664,00"
10,59,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SÃO MAMEDE,"R$ 10.000,00"
11,61,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SÃO MAMEDE,"R$ 1.410,00"
12,62,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SÃO MAMEDE,"R$ 1.410,00"
13,598,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SÃO MAMEDE,"R$ 27.670,00"
14,615,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SÃO MAMEDE,"R$ 29.700,00"
15,773,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SÃO MAMEDE,"R$ 81.394,00"
16,285,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SÃO MAMEDE,"R$ 4.356,95"
17,286,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SÃO MAMEDE,"R$ 4.356,95"
18,287,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SÃO MAMEDE,"R$ 4.356,95"
19,288,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SÃO MAMEDE,"R$ 4.356,95"
20,206,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SÃO MAMEDE,"R$ 4.356,95"
21,207,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SÃO MAMEDE,"R$ 4.356,95"
22,208,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SÃO MAMEDE,"R$ 4.356,95"
