,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,521,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),TACIMA,"R$ 17.504,00"
1,522,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),TACIMA,"R$ 17.504,00"
2,523,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),TACIMA,"R$ 17.504,00"
3,524,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),TACIMA,"R$ 17.504,00"
4,380,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),TACIMA,"R$ 17.504,00"
5,381,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),TACIMA,"R$ 17.504,00"
6,382,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),TACIMA,"R$ 17.504,00"
7,381,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),TACIMA,"R$ 17.504,00"
8,382,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),TACIMA,"R$ 17.504,00"
9,383,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),TACIMA,"R$ 17.504,00"
10,199,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,TACIMA,"R$ 4.170,00"
11,200,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,TACIMA,"R$ 4.170,00"
12,520,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,TACIMA,"R$ 18.590,00"
13,765,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,TACIMA,"R$ 77.736,00"
14,463,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,TACIMA,"R$ 6.715,55"
15,464,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,TACIMA,"R$ 6.715,55"
16,465,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,TACIMA,"R$ 6.715,55"
17,466,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,TACIMA,"R$ 6.715,55"
18,338,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,TACIMA,"R$ 6.715,55"
19,339,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,TACIMA,"R$ 6.715,55"
20,340,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,TACIMA,"R$ 6.715,55"
21,340,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,TACIMA,"R$ 6.715,53"
22,341,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,TACIMA,"R$ 6.715,55"
23,342,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,TACIMA,"R$ 6.715,55"
24,411,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,TACIMA,"R$ 172.469,09"
25,487,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,TACIMA,"R$ 204.946,69"
26,532,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,TACIMA,"R$ 226.773,63"
27,624,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,TACIMA,"R$ 283.609,30"
28,398,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,TACIMA,"R$ 163.295,69"
29,496,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,TACIMA,"R$ 202.430,55"
30,538,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,TACIMA,"R$ 225.068,74"
31,622,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,TACIMA,"R$ 272.430,60"
32,302,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,TACIMA,"R$ 164.713,17"
33,390,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,TACIMA,"R$ 199.570,91"
34,615,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,TACIMA,"R$ 359.079,34"
35,684,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,TACIMA,"R$ 433.391,43"
36,383,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,TACIMA,"R$ 26.248,88"
37,384,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,TACIMA,"R$ 26.248,88"
38,385,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,TACIMA,"R$ 26.248,88"
39,784,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,TACIMA,"R$ 115.094,51"
40,364,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,TACIMA,"R$ 26.231,62"
41,365,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,TACIMA,"R$ 26.231,62"
42,643,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,TACIMA,"R$ 52.497,76"
43,647,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,TACIMA,"R$ 52.675,61"
44,407,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,TACIMA,"R$ 26.231,62"
45,408,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,TACIMA,"R$ 26.231,62"
46,409,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,TACIMA,"R$ 26.231,62"
47,741,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,TACIMA,"R$ 67.386,85"
48,121,20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA,TACIMA,"R$ 353.220,74"
49,120,8790 - APOIO A ALFABETIZACAO E A EDUCACAO DE JOVENS E ADULTOS,TACIMA,"R$ 295.114,14"
50,267,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),TACIMA,"R$ 17.847,20"
51,296,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),TACIMA,"R$ 21.993,60"
52,530,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),TACIMA,"R$ 21.993,60"
53,531,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),TACIMA,"R$ 21.993,60"
54,532,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),TACIMA,"R$ 21.993,60"
55,533,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),TACIMA,"R$ 21.993,60"
56,32,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),TACIMA,"R$ 4.146,40"
57,498,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),TACIMA,"R$ 17.847,20"
58,565,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),TACIMA,"R$ 21.993,60"
59,720,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),TACIMA,"R$ 39.840,80"
60,21,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,TACIMA,"R$ 1.110,00"
61,220,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,TACIMA,"R$ 12.140,00"
62,30,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,TACIMA,"R$ 1.110,00"
63,290,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,TACIMA,"R$ 6.290,00"
64,625,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,TACIMA,"R$ 33.030,00"
65,712,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,TACIMA,"R$ 55.784,00"
66,423,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,TACIMA,"R$ 6.439,19"
67,424,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,TACIMA,"R$ 6.439,19"
