,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,469,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),TAPEROÁ,"R$ 15.668,00"
1,470,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),TAPEROÁ,"R$ 15.668,00"
2,471,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),TAPEROÁ,"R$ 15.668,00"
3,472,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),TAPEROÁ,"R$ 15.668,00"
4,344,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),TAPEROÁ,"R$ 15.668,00"
5,345,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),TAPEROÁ,"R$ 15.668,00"
6,346,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),TAPEROÁ,"R$ 15.668,00"
7,342,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),TAPEROÁ,"R$ 15.668,00"
8,343,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),TAPEROÁ,"R$ 15.668,00"
9,344,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),TAPEROÁ,"R$ 15.668,00"
10,25,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,TAPEROÁ,"R$ 6.250,00"
11,170,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,TAPEROÁ,"R$ 83.350,00"
12,174,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,TAPEROÁ,"R$ 3.540,00"
13,175,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,TAPEROÁ,"R$ 3.540,00"
14,667,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,TAPEROÁ,"R$ 40.820,00"
15,865,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,TAPEROÁ,"R$ 193.638,00"
16,508,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,TAPEROÁ,"R$ 7.434,08"
17,509,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,TAPEROÁ,"R$ 7.434,08"
18,510,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,TAPEROÁ,"R$ 7.434,08"
