,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,777,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),TEIXEIRA,"R$ 37.456,00"
1,778,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),TEIXEIRA,"R$ 37.456,00"
2,779,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),TEIXEIRA,"R$ 37.456,00"
3,780,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),TEIXEIRA,"R$ 37.456,00"
4,566,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),TEIXEIRA,"R$ 37.456,00"
5,567,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),TEIXEIRA,"R$ 37.456,00"
6,568,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),TEIXEIRA,"R$ 37.456,00"
7,569,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),TEIXEIRA,"R$ 37.456,00"
8,570,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),TEIXEIRA,"R$ 37.456,00"
9,571,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),TEIXEIRA,"R$ 37.456,00"
10,109,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,TEIXEIRA,"R$ 21.227,49"
11,332,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,TEIXEIRA,"R$ 7.590,00"
12,333,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,TEIXEIRA,"R$ 7.590,00"
13,432,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,TEIXEIRA,"R$ 12.000,00"
14,668,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,TEIXEIRA,"R$ 40.910,00"
15,874,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,TEIXEIRA,"R$ 226.607,00"
16,475,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,TEIXEIRA,"R$ 6.843,08"
17,476,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,TEIXEIRA,"R$ 6.843,08"
18,477,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,TEIXEIRA,"R$ 6.843,08"
19,478,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,TEIXEIRA,"R$ 6.843,08"
20,347,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,TEIXEIRA,"R$ 6.843,08"
21,348,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,TEIXEIRA,"R$ 6.843,08"
22,349,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,TEIXEIRA,"R$ 6.843,08"
23,349,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,TEIXEIRA,"R$ 6.843,08"
24,350,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,TEIXEIRA,"R$ 6.843,08"
25,351,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,TEIXEIRA,"R$ 6.843,23"
26,590,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,TEIXEIRA,"R$ 258.767,97"
27,658,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,TEIXEIRA,"R$ 307.496,49"
