,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,613,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),UIRAÚNA,"R$ 22.326,00"
1,614,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),UIRAÚNA,"R$ 22.326,00"
2,615,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),UIRAÚNA,"R$ 22.326,00"
3,616,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),UIRAÚNA,"R$ 22.326,00"
4,448,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),UIRAÚNA,"R$ 22.326,00"
5,449,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),UIRAÚNA,"R$ 22.326,00"
6,450,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),UIRAÚNA,"R$ 22.326,00"
7,450,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),UIRAÚNA,"R$ 22.326,00"
8,451,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),UIRAÚNA,"R$ 22.326,00"
9,452,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),UIRAÚNA,"R$ 22.326,00"
10,91,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,UIRAÚNA,"R$ 16.470,00"
11,168,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,UIRAÚNA,"R$ 78.657,88"
12,236,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,UIRAÚNA,"R$ 5.250,00"
13,507,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,UIRAÚNA,"R$ 17.850,00"
14,650,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,UIRAÚNA,"R$ 37.150,00"
15,785,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,UIRAÚNA,"R$ 87.000,00"
16,843,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,UIRAÚNA,"R$ 143.982,00"
17,222,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,UIRAÚNA,"R$ 3.557,25"
18,223,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,UIRAÚNA,"R$ 3.557,25"
19,224,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,UIRAÚNA,"R$ 3.557,25"
20,225,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,UIRAÚNA,"R$ 3.557,25"
21,161,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,UIRAÚNA,"R$ 3.557,25"
22,162,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,UIRAÚNA,"R$ 3.557,25"
23,163,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,UIRAÚNA,"R$ 3.557,25"
24,158,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,UIRAÚNA,"R$ 3.557,16"
25,159,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,UIRAÚNA,"R$ 3.557,25"
26,160,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,UIRAÚNA,"R$ 3.557,25"
27,418,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,UIRAÚNA,"R$ 173.775,06"
28,497,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,UIRAÚNA,"R$ 206.498,58"
29,538,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,UIRAÚNA,"R$ 228.488,90"
30,629,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,UIRAÚNA,"R$ 285.756,81"
31,406,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,UIRAÚNA,"R$ 164.532,18"
32,501,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,UIRAÚNA,"R$ 203.963,39"
