,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,43,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),VÁRZEA,"R$ 4.316,00"
1,44,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),VÁRZEA,"R$ 4.316,00"
2,45,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),VÁRZEA,"R$ 4.316,00"
3,46,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),VÁRZEA,"R$ 4.316,00"
4,26,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),VÁRZEA,"R$ 4.316,00"
5,27,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),VÁRZEA,"R$ 4.316,00"
6,28,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),VÁRZEA,"R$ 4.316,00"
7,26,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),VÁRZEA,"R$ 4.316,00"
8,27,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),VÁRZEA,"R$ 4.316,00"
9,28,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),VÁRZEA,"R$ 4.316,00"
10,138,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,VÁRZEA,"R$ 33.050,00"
11,77,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,VÁRZEA,"R$ 1.630,00"
12,398,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,VÁRZEA,"R$ 10.220,00"
13,424,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,VÁRZEA,"R$ 11.850,00"
14,29,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,VÁRZEA,"R$ 1.318,98"
15,30,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,VÁRZEA,"R$ 1.318,98"
16,31,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,VÁRZEA,"R$ 1.318,98"
17,32,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,VÁRZEA,"R$ 1.318,98"
18,25,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,VÁRZEA,"R$ 1.318,98"
19,26,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,VÁRZEA,"R$ 1.318,98"
20,27,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,VÁRZEA,"R$ 1.318,98"
21,23,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,VÁRZEA,"R$ 1.318,95"
22,24,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,VÁRZEA,"R$ 1.318,98"
23,25,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,VÁRZEA,"R$ 1.318,98"
24,17,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,VÁRZEA,"R$ 50.003,41"
25,35,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,VÁRZEA,"R$ 59.419,53"
26,53,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,VÁRZEA,"R$ 65.748,62"
27,112,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,VÁRZEA,"R$ 82.225,93"
28,15,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,VÁRZEA,"R$ 47.343,79"
29,36,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,VÁRZEA,"R$ 58.690,04"
30,58,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,VÁRZEA,"R$ 65.253,44"
31,109,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,VÁRZEA,"R$ 78.984,92"
32,15,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,VÁRZEA,"R$ 47.754,76"
33,30,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,VÁRZEA,"R$ 57.860,95"
34,152,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,VÁRZEA,"R$ 104.106,73"
35,209,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,VÁRZEA,"R$ 125.651,78"
36,24,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,VÁRZEA,"R$ 7.610,25"
37,25,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,VÁRZEA,"R$ 7.610,25"
38,26,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,VÁRZEA,"R$ 7.610,25"
39,489,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,VÁRZEA,"R$ 34.792,28"
40,19,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,VÁRZEA,"R$ 7.605,25"
41,20,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,VÁRZEA,"R$ 7.605,25"
42,152,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,VÁRZEA,"R$ 15.220,50"
43,182,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,VÁRZEA,"R$ 16.115,93"
44,25,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,VÁRZEA,"R$ 7.605,25"
45,26,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,VÁRZEA,"R$ 7.605,25"
46,27,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,VÁRZEA,"R$ 7.605,25"
47,308,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,VÁRZEA,"R$ 19.537,25"
